District,Plantation & Horticulture Amt,A/C Nos Plantation horticulture &,Farm Mechanization Amt,Farm Mechanization A/C,Amt wasteland Forestry and Dev,A/C wasteland Forestry Nos and Dev,Crop Amt Loan,Loan Crop A/C
East Garo Hills,16.4,3,204.15,364,0,0,609.29,795
East Jaintia Hills,5.47,1,194.74,74,1.96,1,254.61,330
East Khasi Hills,33.12,6,81.75,113,58.73,31,4628.5,5467
Eastern West Khasi Hills,16.4,3,2.05,8,0,0,728.62,984
North Garo Hills,5.47,1,0,0,0,0,715.85,934
Ri Bhoi,14.65,4,3,5,3.87,2,4507.3,5715
South Garo Hills,0,0,0,0,0,0,237.16,352
South West Garo Hills,0,0,84.2,225,0,0,492.56,605
South West Khasi Hills,16.4,3,0,0,0,0,453.37,617
West Garo Hills,21.86,4,546.71,1003,1.9,1,1733.01,1537
West Jaintia Hills,5.47,1,44.83,99,2.23,1,1158.2,1251
West Khasi Hills,10.94,2,0.03,1,2.99,1,830.94,1245
