district,amt_npa_sui,no_o/s_sui,no_to_of_current_st_account_male_year,of_to_year_sc_account_male_no_current,of_year_account_female_no_current,of_year_amount_female_sum_current,of_year_sc_amount_to_male_sum_current,sui_amt_%_npa,sui_amt_o/s,sui_no_npa,sui_rent_total_amount_disb_year_cur,sum_amount_of_current_to_st_male_year,year_total_no_sui_disb_current
East Garo Hills,0,3,1,0,1,10.05,0,0,37.42,0,29.05,19,2
East Jaintia Hills,26.3,44,10,0,4,137.93,0,2.18,1203.76,2,513.1,375.17,14
East Khasi Hills,105.23,263,85,6,67,1134.86,19.47,2.57,4086.7,13,2177.21,1022.88,158
North Garo Hills,0,1,1,0,0,0,0,0,14.29,0,14.32,14.32,1
Ri Bhoi,66.9,48,8,0,12,162.28,0,6.55,1021.23,5,314.63,152.35,20
South Garo Hills,0,2,0,0,0,0,0,0,31.79,0,0,0,0
South West Garo Hills,13.28,8,1,0,1,19.7,0,7.91,167.87,1,69.7,50,2
South West Khasi Hills,0,2,1,0,0,0,0,0,28.07,0,21.62,21.62,1
West Garo Hills,41.87,48,13,1,34,517.92,19,5.75,728.69,4,680.07,143.15,48
West Jaintia Hills,13.58,51,2,0,11,210.24,0,2.07,655.9,1,254.24,44,13
West Khasi Hills,9.16,2,0,0,1,0.75,0,100,9.16,2,0.75,0,1
