district,agri_amt_infra,agri_infra_no,amt_ancillary,ancillary_no,crop_amt,crop_no,term_loan_amt,term_no_loan,tot_agri_amt_ps_npa,tot_agri_no_ps_npa
East Garo Hills,446.06,1569,10.2,13,694.97,1800,28.18,51,1179.41,3433
East Jaintia Hills,139.31,307,27.91,17,36.98,52,32.63,48,236.83,424
East Khasi Hills,1164.61,815,317.27,119,2396.54,5094,221.1,456,4099.52,6484
North Garo Hills,546.59,1688,35.56,27,1125.09,2982,0.17,2,1707.41,4699
Ri Bhoi,599.25,1712,153.73,267,7537.14,14044,140.1,448,8430.22,16471
South Garo Hills,476.33,1272,28.77,40,298,967,30.01,69,833.11,2348
South West Garo Hills,279.58,1141,2.91,6,940.34,2976,9.99,47,1232.82,4170
South West Khasi Hills,93.74,111,0,0,77.86,262,1.1,8,172.7,381
West Garo Hills,702.35,2983,82.89,81,2012.82,5211,158,426,2956.06,8701
West Jaintia Hills,184.42,305,140.28,93,775.77,1650,18.5,35,1118.97,2083
West Khasi Hills,89,431,13.45,3,1723.9,3088,25.75,47,1852.1,3569
