district,cy_disb_amt,cy_disb_no,o/s_amt,o/s_no
East Garo Hills,4167.39,2064,10418.41,6539
East Jaintia Hills,3617.41,1126,7420.17,2587
East Khasi Hills,90621.39,36189,197887.6,78893
Eastern West Khasi Hills,2280.18,1793,7472.8,6760
North Garo Hills,2549.04,917,7202.99,4200
Ri Bhoi,21301.32,18106,48328.76,30516
South Garo Hills,1886.2,526,5270.32,1895
South West Garo Hills,1904.03,1192,6420.32,5056
South West Khasi Hills,2016.16,914,4559.26,2820
West Garo Hills,23339.81,18141,45060.79,22885
West Jaintia Hills,9884.27,4543,23797.93,11613
West Khasi Hills,2895.18,1639,8802.94,6044
