district,amt_bud_dhists,amt_lims_mus,amt_sikhs,amt_tians_chris,amt_trians_zoras,buddhists_amt,buddhists_no,christians_amt,christians_no,disb_tot_no_minority,jains_amt,jains_no,muslims_amt,muslims_no,no_bud_dhists,no_jains,no_lims_mus,no_sikhs,no_tians_chris,no_trians_zoras,sikhs_amt,sikhs_no,tot_disb_amt_minority,total_amt,total_no,zorastrians_amt,zorastrians_no
East Garo Hills,0,310.34,5.97,225.35,0,0.00,0,225.35,95,223,0,0,310.34,119,0,0,119,9,95,0,5.97,9,541.66,541.66,223,0.00,0
East Jaintia Hills,0,485.42,6.2,3087.47,0,0.00,0,3087.47,1027,1124,0,0,485.42,95,0,0,95,2,1027,0,6.20,2,3579.09,3579.09,1124,0.00,0
East Khasi Hills,606.78,4599.56,774.23,44781.68,0,606.78,67,44781.68,20803,22216,61.49,15,4599.56,971,67,15,971,360,20803,0,774.23,360,50823.74,50823.74,22216,0.00,0
Eastern West Khasi Hills,,,,,,0.00,0,3037.26,2283,,0.00,0,1.95,1,,,,,,,0.00,0,,3039.21,2284,0.00,0
North Garo Hills,0,66.18,0,335.52,0,0.00,0,335.52,213,229,0,0,66.18,16,0,0,16,0,213,0,0.00,0,401.7,401.70,229,0.00,0
Ri Bhoi,102.82,5337.49,2399.09,6519.93,0,102.82,11,6519.93,5403,6223,76.83,8,5337.49,786,11,8,786,15,5403,0,2399.09,15,14436.16,14436.16,6223,0.00,0
South Garo Hills,0,45.38,0,145.57,0,0.00,0,145.57,132,141,0,0,45.38,9,0,0,9,0,132,0,0.00,0,190.95,190.95,141,0.00,0
South West Garo Hills,,,,,,0.00,0,447.77,268,,0.00,0,867.56,148,,,,,,,0.00,0,,1315.33,416,0.00,0
South West Khasi Hills,,,,,,0.00,0,1215.48,960,,0.00,0,1.05,1,,,,,,,0.00,0,,1216.53,961,0.00,0
West Garo Hills,11.7,4751.06,2.88,6358.93,0,11.70,3,6358.93,3932,5009,0,0,4751.06,1072,3,0,1072,2,3932,0,2.88,2,11124.57,11124.57,5009,0.00,0
West Jaintia Hills,0.3,80.19,0,8364.43,0,0.30,1,8364.43,3290,3319,3.2,2,80.19,26,1,2,26,0,3290,0,0.00,0,8448.12,8448.12,3319,0.00,0
West Khasi Hills,0.09,123.1,8.95,3283.55,0,0.09,6,3283.55,1962,2084,0,0,123.10,114,6,0,114,2,1962,0,8.95,2,3415.69,3415.69,2084,0.00,0
