district,amt_pmegp_%_npa,amt_pmegp_o/s,cy_a/c_no_bursed_dis,cy_amt_bursed_dis,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,cy_tion_amt_sanc,cy_tion_no_a/c_sanc,no_pmegp_npa,npa_amt,npa_no,npa_pct,os_amt,os_no,pmegp_npa_amt,pmegp_o/s_no
East Garo Hills,61.19,621.29,52,231.95,231.95,52,409.60,95,409.6,95,147,380.17,147,61.19,621.29,233,380.17,233
East Jaintia Hills,35.13,415.37,40,212.77,212.77,40,328.51,46,328.51,46,32,145.92,32,35.13,415.37,102,145.92,102
East Khasi Hills,38.26,6558.55,372,2002.66,2002.66,372,3357.61,429,3357.61,429,683,2509.43,683,38.26,6558.55,1517,2509.43,1517
Eastern West Khasi Hills,14.73,334.7,18,99.54,99.54,18,174.47,20,174.47,20,22,49.30,22,14.73,334.70,110,49.3,110
North Garo Hills,57.02,624.56,61,223.01,223.01,61,480.42,116,480.42,116,156,356.13,156,57.02,624.56,237,356.13,237
Ri Bhoi,29.32,1458.7,186,578.53,578.53,186,943.64,173,943.64,173,215,427.70,215,29.32,1458.70,510,427.7,510
South Garo Hills,57.64,567.32,32,102.8,102.80,32,279.33,51,279.33,51,157,327.00,157,57.64,567.32,215,327,215
South West Garo Hills,57.58,701.49,51,210.66,210.66,51,370.39,75,370.39,75,145,403.94,145,57.58,701.49,264,403.94,264
South West Khasi Hills,26.83,403.06,53,117.67,117.67,53,269.41,56,269.41,56,68,108.16,68,26.83,403.06,150,108.16,150
West Garo Hills,49.4,3161.92,235,1060.51,1060.51,235,1680.92,324,1680.92,324,443,1562.06,443,49.40,3161.92,885,1562.06,885
West Jaintia Hills,36.37,2226.1,335,1487.95,1487.95,335,1642.74,307,1642.74,307,263,809.74,263,36.37,2226.10,607,809.74,607
West Khasi Hills,36.42,569.9,44,134.76,134.76,44,318.87,54,318.87,54,139,207.53,139,36.42,569.90,243,207.53,243
