district,a/c_farm_nos_anization_mech,a/c_nos_animal_husbandry,a/c_nos_plantation_horticulture,a/c_water_nos_resource,amount_plantation_horticulture,and_a/c_land_nos_dev_waste_forestry,crop_a/c_loan,crop_amt_loan,dev_forestry_amt_wasteland_and,farm_amount_nization_mecha,water_amount_resource
East Garo Hills,271,24,2,0,10.27,0,882,666.11,0,136.05,0
East Jaintia Hills,94,61,2,0,10.27,1,386,288.43,2.15,156.72,0
East Khasi Hills,524,1088,17,0,78.83,168,7395,6095.78,166.86,298.26,0
Eastern West Khasi Hills,11,14,3,0,15.4,4,1891,1159.16,7.51,4.27,0
North Garo Hills,0,7,1,0,5.13,0,773,641.95,0,0,0
Ri Bhoi,28,73,7,0,26.96,11,7605,5982.45,7.9,17.11,0
South Garo Hills,6,51,0,0,0,0,463,288.82,0,27.77,0
South West Garo Hills,429,12,2,0,10.27,0,574,435.75,0,154.19,0
South West Khasi Hills,0,158,6,0,30.8,0,884,638.54,0,0,0
West Garo Hills,1024,72,22,0,103.46,4,1325,1646.42,4.08,464.76,0
West Jaintia Hills,789,22,10,0,46.45,3,1567,1530.94,6.14,319.09,0
West Khasi Hills,2,60,5,0,20.93,3,1504,970.56,2.25,3.71,0
