district,amt_loan_personal,amt_nps_agri,loan_no_personal,no_nps_agri,npa_prio_tot_sec_non_amt,nps_amt%_npa,nps_amt_housing,nps_no_housing,nps_other_no,o/s_tot_no_nps,other_amt_nps,tion_amt_educa_nps,tion_no_educa_nps,tot_amt_nps_o/s,tot_npa_prio_no_sec_non
East Garo Hills,3522.62,0,1961,0,408.99,1.56,987.13,90,7000,9051,21628.52,2.03,0,26140.3,291
East Khasi Hills,82462.02,13.56,29301,13,3621.02,0.45,82778.99,4935,95274,130151,634593.26,12294.33,628,812142.16,1972
Ri Bhoi,9808.5,5,5795,2,1405.26,0.88,21331.1,1612,33134,40548,128781.97,144.05,5,160070.62,737
West Garo Hills,13942.38,0,8309,0,2082.2,2.01,12442.12,1043,25599,34963,76925.22,422.49,12,103732.21,1442
West Khasi Hills,4157.31,0,1762,0,82.42,0.56,1109.03,93,3405,5262,9317.95,16.6,2,14600.89,78
