district,medium_amt,medium_no,micro_amt,micro_no,msme_amount_total_o/s,o/s_msme_no_total,other_amt_msme,other_no_msme,small_amt,small_no
East Garo Hills,0,0,3564.99,1824,3955.78,2070,116.74,215,274.05,31
East Jaintia Hills,0,0,9238.64,1952,12136.6,2384,131.59,172,2766.37,260
East Khasi Hills,119789.49,254,117543.2,19331,287148.94,21028,488.82,374,49327.43,1069
Eastern West Khasi Hills,0,0,2933.52,1415,3366.99,1616,116.29,180,317.18,21
North Garo Hills,0,0,2291,1628,2541.86,1709,41.48,16,209.38,65
Ri Bhoi,5382.43,27,36044.22,4267,66783.73,5064,363.12,351,24993.96,419
South Garo Hills,0,0,1604.56,959,1786.33,1094,55.17,28,126.6,107
South West Garo Hills,0,0,2816.5,1312,3206.4,1367,30.27,15,359.63,40
South West Khasi Hills,0,0,1940.57,935,1995.81,961,3.41,7,51.83,19
West Garo Hills,273.75,5,17843.04,7160,21436.58,7962,276.66,388,3043.13,409
West Jaintia Hills,0,0,15778.85,5359,22446.39,6265,236.9,312,6430.64,594
West Khasi Hills,0,0,4563.41,1911,4949.72,2163,169.97,218,216.34,34
