district,ance_rabi_others_insur_number,covered_kharif_no_under_of_pmfby_farmers,kharif_insured_pmfby_under_amount,kharif_number_others_insurance,loan_current_amount_year_achievement_crop,rabi_insured_pmfby_under_amount,under_rabi_farmers_no_of_pmfby_covered
East Garo Hills,0,0,0,0,18.35,0,0
East Jaintia Hills,0,0,0,0,207.82,0,0
East Khasi Hills,0,1,0.29,0,3498.77,0,0
North Garo Hills,0,0,0,0,29.12,0,0
Ri Bhoi,0,26,0.03,0,1887.75,0,0
South Garo Hills,0,2,0.02,0,20.1,0,0
West Garo Hills,0,0,0,0,700.57,0,0
West Jaintia Hills,0,81,102.56,0,537.9,22.3,36
West Khasi Hills,0,0,0,0,734.99,0,0
