district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa,number_of_aadhaar_seeded_casa,number_of_authenticated_casa,number_of_operative_casa
East Garo Hills,44592,14366,121673,44592,14366,121673
East Jaintia Hills,45451,6886,138903,45451,6886,138903
East Khasi Hills,267740,145115,1048183,267740,145115,1048183
Eastern West Khasi Hills,29766,1827,104589,29766,1827,104589
North Garo Hills,39388,7406,132545,39388,7406,132545
Ri Bhoi,77300,16654,284111,77300,16654,284111
South Garo Hills,30919,8070,86976,30919,8070,86976
South West Garo Hills,54817,16083,134846,54817,16083,134846
South West Khasi Hills,19594,759,76129,19594,759,76129
West Garo Hills,143576,57997,491087,143576,57997,491087
West Jaintia Hills,81744,46767,308175,81744,46767,308175
West Khasi Hills,43803,5639,144172,43803,5639,144172
