district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
East Garo Hills,2,9,1,47,5,52,5,9,1,12,15
East Jaintia Hills,15,1,0,94,34,128,23,3,0,16,26
East Khasi Hills,35,20,249,224,497,721,56,29,105,304,190
Eastern West Khasi Hills,2,4,0,37,14,51,7,4,1,6,12
North Garo Hills,5,3,0,64,17,81,7,5,0,8,12
Ri Bhoi,26,14,2,105,34,139,32,15,1,42,48
South Garo Hills,1,3,0,46,16,62,4,5,1,4,10
South West Garo Hills,4,1,0,134,6,140,11,3,0,5,14
South West Khasi Hills,8,1,0,15,15,30,8,1,0,9,9
West Garo Hills,8,40,1,494,78,572,21,20,4,49,45
West Jaintia Hills,7,23,2,77,30,107,20,23,3,32,46
West Khasi Hills,1,9,1,93,28,121,8,9,1,11,18
