district,al_small_and_farmers_no_margin,amt_scheduled_tribes,castes_amt_scheduled,castes_no_scheduled,dri_amt_scheme,dri_scheme_no,ginal_small_amt_and_farmers_mar,self_groups_help_no,tribes_no_scheduled
East Garo Hills,5407,745.2,19.78,6,0,0,3086.22,665,448
East Jaintia Hills,2920,7028.95,41.82,16,3.58,35,2171.66,940,3625
East Khasi Hills,32052,124818.6,2425.13,1760,29.69,149,20468.34,2769,46535
Eastern West Khasi Hills,8318,10041.23,0,0,1.55,8,4819.89,979,8472
North Garo Hills,6590,1089.77,22.91,14,1.56,6,3664.95,742,944
Ri Bhoi,35953,17711.24,749.43,468,5.38,28,23699.14,1730,14973
South Garo Hills,3283,619.6,6.26,5,0,0,1505.43,576,504
South West Garo Hills,8204,1763.09,53.51,31,0,0,4412.72,576,1762
South West Khasi Hills,3061,3759.55,2.28,5,0,0,2113.84,682,3114
West Garo Hills,16045,11625.8,217.56,118,0,0,7527.31,1937,6270
West Jaintia Hills,5983,17427.81,40.5,15,4.9,25,4967.91,1587,7162
West Khasi Hills,8003,9519.72,33.12,9,1.25,11,4877.12,908,6169
