district,name_of_sch_comm_bank_selected_for_allottment_of_villages_2000_population,no_of_allotted_village,no_of_villages_where_banking_outlet_opened_upto_the_end_of_the_quarter_september_2023,none,sr_no
East Garo Hills,PNB(e-UBI),15,1,15,B3
East Jaintia Hills,SBI,49,0,49,E7
South Garo Hills,IPPB,111,0,111,C3
West Garo Hills,IPPB,10,0,10,A8
West Jaintia Hills,IOB,10,0,10,F6
West Khasi Hills,PNB(e-UBI),73,34,73,D5
