district,101966,204,394831,440,51267,55,553854,579,7609,8308
East Garo Hills,3302.05,745,784.6,464,694.3,133,4940.12,159.17,1360,2702
East Jaintia Hills,118214.66,1224,16392.53,5483,3724.61,860,142752.47,4420.67,25151,32718
East Khasi Hills,1494.21,1936,2305.1,34,23.85,118,3893.17,70.01,4813,6901
Eastern West Khasi Hills,3352.21,1854,1880.42,387,244.62,198,5570.14,92.89,3520,5959
North Garo Hills,5469.54,2135,20841.64,3488,1884.06,758,28984.65,789.41,32415,38796
Ri Bhoi,1521.54,1371,1073.32,223,183.37,94,2841.77,63.54,1989,3677
South Garo Hills,2218.27,2608,2020.91,1000,372.22,35,4627.75,16.35,4822,8465
South West Garo Hills,917.66,292,1579.79,175,196.9,93,2777.97,83.62,2670,3230
South West Khasi Hills,6293.82,3423,5215.87,4776,1837.98,277,13963.44,615.77,9079,17555
West Garo Hills,13341.69,603,3578.94,1309,1030.54,217,19066.75,1115.58,5339,7468
West Jaintia Hills,1965.36,608,4166.76,118,143.3,187,6402.28,126.86,7038,7951
West Khasi Hills,159110.67,17003,63788.19,17897,10848.42,3025,241359.05,7611.77,105805,143730
