district,amt_sanctioned,disb_amt,disb_ber_num,girl_of_amt_which_sanctioned_student,girl_of_os_amt_which_student,no_sanctioned,of_no_student_which_os_girl,of_student_amt_which_disb_girl,of_student_which_disb_girl_no,of_tioned_student_which_no_sanc_girl,os_amt,os_no
East Garo Hills,2.28,10.34,9,0.97,62.25,2,25,9.73,12,1,169.57,56
East Jaintia Hills,25.02,30.23,16,7.31,79.81,9,38,13.66,10,4,178.56,66
East Khasi Hills,5990.38,3752.81,689,2583.11,6086.85,486,1418,1488.25,354,248,11841.03,2722
North Garo Hills,8.82,9.26,6,5.51,19.08,4,5,5.18,2,2,51.06,17
Ri Bhoi,249.08,197.94,116,143.11,599.32,79,248,94.67,74,59,980.29,352
South Garo Hills,1.64,9.29,7,1.64,20.33,2,9,7.45,6,2,36.48,13
West Garo Hills,321.18,260.74,104,144.1,578.69,58,150,168.51,60,33,1094.39,296
West Jaintia Hills,55.8,60.08,35,14.5,246.14,17,98,19.08,19,9,470.23,166
West Khasi Hills,37.17,53.81,36,47.15,241.48,15,106,54.49,30,12,335.3,148
