district,aadhaar_authenti_cated_sb_accounts,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
East Garo Hills,38188,38188,10293,4,10866,612
East Jaintia Hills,8087,8087,12254,11,19286,16
East Khasi Hills,143379,143379,105909,179,99545,5378
Eastern West Khasi Hills,3235,3235,4467,5,12356,746
North Garo Hills,32911,32911,16308,0,16579,559
Ri Bhoi,23870,23870,14232,11,27491,7353
South Garo Hills,18624,18624,6773,0,7365,47
South West Garo Hills,50810,50810,15811,12,16627,514
South West Khasi Hills,5144,5144,1271,1,6923,365
West Garo Hills,129909,129909,39423,8,44872,1078
West Jaintia Hills,27063,27063,8132,15,19234,620
West Khasi Hills,6960,6960,5091,8,14380,2446
