district,sc_disb_amt,sc_disb_no,sc_disbursement_amt,sc_disbursement_no,sc_o/s_amt,sc_o/s_no,sc_outstanding_amt,sc_outstanding_no,st_disb_amt,st_disb_no,st_disbursement_amt,st_disbursement_no,st_o/s_amt,st_o/s_no,st_outstanding_amt,st_outstanding_no
East Garo Hills,35.38,7,35.38,7,112.76,36,112.76,36,963.39,674,963.39,674,6238.21,3986,6238.21,3986
East Jaintia Hills,155.97,30,155.97,30,388.21,136,388.21,136,4158.5,1475,4158.50,1475,25444.53,14104,25444.53,14104
East Khasi Hills,4732.04,1716,4732.04,1716,11669.08,5556,11669.08,5556,74752.53,26984,74752.53,26984,599826.72,150679,599826.72,150679
Eastern West Khasi Hills,2038.77,353,2038.77,353,4623.05,1218,4623.05,1218,9407.04,5088,9407.04,5088,49477.3,35901,49477.30,35901
North Garo Hills,427.51,136,427.51,136,5994.25,1121,5994.25,1121,53712.82,3328,53712.82,3328,44310.18,15250,44310.18,15250
Ri Bhoi,1817.42,338,1817.42,338,4712.28,1573,4712.28,1573,11726.52,5580,11726.52,5580,47917.16,31353,47917.16,31353
South Garo Hills,28.18,7,28.18,7,54.17,23,54.17,23,692.72,505,692.72,505,4301.96,3650,4301.96,3650
South West Garo Hills,57.23,10,57.23,10,240.46,99,240.46,99,1871.36,1102,1871.36,1102,8227.95,6522,8227.95,6522
South West Khasi Hills,30.31,2,30.31,2,33.38,17,33.38,17,966.14,887,966.14,887,5302.02,3728,5302.02,3728
West Garo Hills,268.2,77,268.20,77,1249.11,1058,1249.11,1058,4734.19,1852,4734.19,1852,27101.44,15823,27101.44,15823
West Jaintia Hills,1098.81,215,1098.81,215,3554.73,1132,3554.73,1132,12957.79,3714,12957.79,3714,70438.44,25156,70438.44,25156
West Khasi Hills,117.97,17,117.97,17,306.7,69,306.70,69,3177.72,2011,3177.72,2011,19118.13,12924,19118.13,12924
