district,a/c_nrlm_amt_irregular,no_nulm_npa,nrlm_npa_amt,nrlm_npa_no,nrlm_o/s_amt,nrlm_o/s_no,nulm_amt_npa,o/s_no_nulm,o/s_nulm_amt,ular_nrlm_a/c_no_irreg
East Garo Hills,60.95,0,173.12,307,884.98,877,0,0,0,85
East Jaintia Hills,0,0,0,0,1317.58,937,0,0,0,0
East Khasi Hills,8.11,20,145.04,137,3348.44,2607,11.83,27,20.9,12
Eastern West Khasi Hills,8.96,0,26.34,31,1814.57,960,0,0,0,6
North Garo Hills,32.24,0,123.05,222,709.17,793,0,0,0,46
Ri Bhoi,6.68,0,18.9,23,2080.58,1682,0,0,0,12
South Garo Hills,44.78,1,158.55,183,496.31,519,1.31,5,3.37,64
South West Garo Hills,4.88,0,17.06,21,917.05,789,0,0,0,7
South West Khasi Hills,1.82,0,8.1,10,871.87,659,0,0,0,2
West Garo Hills,124.1,24,245.83,311,2369.37,1998,20.23,47,37.86,123
West Jaintia Hills,1.09,6,60.22,34,2195.43,1521,6.76,12,14.17,1
West Khasi Hills,3.11,0,5.49,6,1602.83,920,0,1,0.19,3
