district,agri_amount_achieved_ps,agri_no_achieved_ps,agri_target_amount_ps,agri_target_no_ps,amount_achv%_agrips,crop_achieved_loan_no,crop_amount_achieved_loan,crop_amount_achv%_loan,crop_target_amount_loan,crop_target_no_loan,ps_amount_msme_target,target_msme_no_ps
East Garo Hills,1288.08,1720,6830,9163,18.86,882,666.11,12.57,5300,7350,2400,1925
East Jaintia Hills,1098.19,766,2140,1590,51.32,386,288.43,27.47,1050,1050,6100,606
East Khasi Hills,11804.87,11406,14980,9286,78.8,7395,6095.78,98.16,6210,6139,82998.78,11025
North Garo Hills,1047.53,1348,4500,5749,23.28,773,641.95,20.71,3100,4185,1800,1650
Ri Bhoi,9851.29,10727,16850,14433,58.46,7605,5982.45,66.84,8950,12160,18870,2582
South Garo Hills,608.55,817,3570,3351,17.05,463,288.82,10.7,2700,3240,606,531
West Garo Hills,3921.27,5311,12890,21240,30.42,1325,1646.42,22.46,7330,11892,15000,7500
West Jaintia Hills,2379.04,2845,6020,4802,39.52,1567,1530.94,39.25,3900,3900,10400,1030
West Khasi Hills,1435.68,2159,4056,2880,35.4,1504,970.56,37.56,2584,2238,1406,632
