district,agri_amt_infra,agri_no_infra,amt_ancillary,ancillary_no,crop_amt,crop_no,loan_term_no,micro_amt,no_micro,small_amt,small_no,term_amt_loan
East Garo Hills,446.06,1569,10.2,13,694.97,1800,51,464.76,907,0,0,28.18
East Jaintia Hills,139.31,307,27.91,17,36.98,52,48,549.91,171,248.51,47,32.63
East Khasi Hills,1164.61,815,317.27,119,2396.54,5094,456,6782.86,3290,1461.61,156,221.1
Eastern West Khasi Hills,41.22,92,2.57,3,329.42,1053,105,108.71,84,0,0,33.61
North Garo Hills,546.59,1688,35.56,27,1125.09,2982,2,411.84,608,0,0,0.17
Ri Bhoi,599.25,1712,153.73,267,7537.14,14044,448,827.4,703,38.71,28,140.1
South Garo Hills,476.33,1272,28.77,40,298,967,69,398.03,448,0,0,30.01
South West Garo Hills,279.58,1141,2.91,6,940.34,2976,47,276.22,206,0,4,9.99
South West Khasi Hills,93.74,111,0,0,77.86,262,8,98,58,1.25,3,1.1
West Garo Hills,702.35,2983,82.89,81,2012.82,5211,426,2117.72,2084,10.54,2,158
West Jaintia Hills,184.42,305,140.28,93,775.77,1650,35,1205.57,685,473.4,57,18.5
West Khasi Hills,89,431,13.45,3,1723.9,3088,47,614.37,361,21.99,3,25.75
