district,amt_dhists_bud,amt_lims_mus,amt_sikhs,amt_tians_chris,amt_trians_zoras,jains_amt,no_dhists_bud,no_jains,no_lims_mus,no_sikhs,no_tians_chris,no_trians_zoras,o/s_loan_no_minority_to_tot,tot_minority_loan_amt_o/s_to
East Garo Hills,11.98,590.66,7.75,592.91,2.4,0,1,0,216,14,407,1,639,1205.7
East Jaintia Hills,2.53,1021.3,5.86,7226.01,0,19.56,2,2,239,1,3614,0,3858,8275.26
East Khasi Hills,1019.36,10169.86,1807.95,123195.72,0,185.57,220,25,2458,757,48072,0,51532,136378.46
North Garo Hills,0.4,155.01,0,641.83,0,0,1,0,57,0,388,0,446,797.24
Ri Bhoi,215.54,12788.1,2272.41,15062.25,1.6,256.65,58,19,3086,60,13671,1,16895,30596.55
South Garo Hills,0,193.56,0,532.51,0,7.35,0,1,44,0,452,0,497,733.42
West Garo Hills,36.67,10516.02,58.55,11763.47,0,0,18,0,4727,21,7746,0,12512,22374.71
West Jaintia Hills,0.72,303.18,8.69,21702.46,0,3.06,2,2,88,8,8863,0,8963,22018.11
West Khasi Hills,9.23,368.76,14.63,9470.48,0,0,7,0,173,8,6134,0,6322,9863.1
