district,kvic_amt,medium_amt,micro_amt,micro_no,msme_other_amt,no_kvic,no_medium,no_msme_other,small_amt,small_no,tot_npa_msme_amt_ps,tot_npa_msme_no_ps
East Garo Hills,11.91,0,464.76,907,8.2,12,0,4,0,0,484.87,923
East Jaintia Hills,5.5,0,549.91,171,0,2,0,0,248.51,47,803.92,220
East Khasi Hills,125.06,2950.79,6782.86,3290,3.88,42,10,14,1461.61,156,11324.2,3512
North Garo Hills,0,0,411.84,608,2.85,0,0,1,0,0,414.69,609
Ri Bhoi,24.64,0,827.4,703,19.44,18,0,28,38.71,28,910.19,777
South Garo Hills,16.55,0,398.03,448,5.7,11,0,5,0,0,420.28,464
West Garo Hills,28.12,0,2117.72,2084,38.08,18,0,32,10.54,2,2194.46,2136
West Jaintia Hills,14.29,0,1205.57,685,1.34,12,0,9,473.4,57,1694.6,763
West Khasi Hills,5.75,0,614.37,361,3.48,5,0,3,21.99,3,645.59,372
