district,117186,1830846,1913,1965979,2238431,3677,3801,4426,4816872,612462,722842,990818,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
East Garo Hills,799.43,35583.03,,26331.8,143348.7,20.79,20.97,20.45,169680.5,0,5474.25,29309.35,6445.78,24646.03,4703.06,66.22,66.00,73.76,9734.20,37340.38,6375.93,66.97,35794.87,53450.51
East Jaintia Hills,963075.06,1153915.05,44.92,190258.43,296539.65,47.02,43.87,34.19,2630577.47,2143779.39,89464.25,101375.74,29309.35,5474.25,799.43,20.44,20.79,,143413.70,26331.80,0.00,20.96,35583.03,169745.50
East Khasi Hills,4.64,26285.78,,12270.41,26352.94,63.5,68.06,70.16,38623.35,0,7792.08,18489.06,101375.74,89464.25,963075.06,34.19,47.02,44.92,296539.65,190258.43,2143883.39,43.86,1153915.05,2630681.47
Eastern West Khasi Hills,4703.06,35794.87,73.76,37064.38,9734.2,66.5,67.32,66.22,53174.51,6375.93,24646.03,6445.78,9908.18,7228.42,1171.86,44.26,36.77,19.13,22384.31,19659.79,6124.62,38.01,18308.46,48168.72
North Garo Hills,4747.76,261301.15,85.34,71123.8,163773.39,40.09,108.67,139.24,240460.32,5563.13,28512.1,228041.29,18489.06,7792.08,4.64,70.16,63.50,,26352.94,12270.41,0.00,68.06,26285.78,38623.35
Ri Bhoi,2493.14,18201.9,65.18,18560.82,10682.32,57.54,55.04,47.08,33068.09,3824.95,10679.34,5029.42,228041.29,28512.10,4747.76,139.24,40.03,85.34,163773.39,71234.80,5563.13,108.62,261301.15,240571.32
South Garo Hills,0,25456.01,,4693.16,33357.16,60.48,66.9,67.8,38050.32,0,2838.52,22617.49,5029.42,10679.34,2493.14,47.08,57.54,65.18,10682.32,18560.82,3824.95,55.04,18201.90,33068.09
South West Garo Hills,0,13406.37,,4520.98,32111.08,32.42,36.6,37.19,36632.06,0,1465.58,11940.79,22617.49,2838.52,0.00,67.80,58.33,,33357.16,4866.16,0.00,66.60,25456.01,38223.32
South West Khasi Hills,10316.56,143562.81,48.48,164357.91,75161.61,55.42,55.05,56.1,260799.22,21279.7,91083.98,42162.27,11940.79,1465.58,0.00,37.19,32.42,,32111.08,4520.98,0.00,36.60,13406.37,36632.06
West Garo Hills,20765.64,85778.53,24.37,136260.12,78155.67,34.44,28.63,23.13,299626.26,85210.47,46934.04,18078.85,42162.27,91083.98,10316.56,56.10,55.42,47.14,75161.61,164357.91,21886.70,54.92,143562.81,261406.22
West Jaintia Hills,3021.2,27145.75,32.45,43037.44,18651.1,43.33,38.23,29.36,70998.73,9310.19,18649.44,5475.11,18078.85,46934.04,20765.64,23.13,34.35,24.37,78155.67,136653.12,85210.47,28.59,85778.53,300019.26
West Khasi Hills,1011098.35,1844739.71,44.32,728139.04,910252.13,45.98,47.06,54.81,3919859.55,2281468.38,334768.03,498873.33,5475.11,18649.44,3021.20,29.36,43.31,32.45,18651.10,43064.44,9310.19,38.22,27145.75,71025.73
