district,amt_regular_nrlm_a/c_ir,cy_shg_amt,cy_shg_no,group_current_no_selfhelp_year,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,nrlm_%_npa_amt,nrlm_a/c_no_irregular,nrlm_amt_o/s,nrlm_no_npa,nrlm_npa_amt,nrlm_o/s_no,os_amt,os_no,selfhelp_current_amount_year_group
East Garo Hills,60.95,673.83,471,471,60.95,85,173.12,307,19.56,19.56,85,884.98,307,173.12,877,884.98,877,673.83
East Jaintia Hills,0,704.80,271,271,0.00,0,0.00,0,0.00,0,0,1317.58,0,0,937,1317.58,937,704.8
East Khasi Hills,8.11,2044.37,1265,1265,8.11,12,145.04,137,4.33,4.33,12,3348.44,137,145.04,2607,3348.44,2607,2044.37
Eastern West Khasi Hills,8.96,1017.69,341,341,8.96,6,26.34,31,1.45,1.45,6,1814.57,31,26.34,960,1814.57,960,1017.69
North Garo Hills,32.24,669.03,607,607,32.24,46,123.05,222,17.35,17.35,46,709.17,222,123.05,793,709.17,793,669.03
Ri Bhoi,6.68,1389.45,547,547,6.68,12,18.90,23,0.91,0.91,12,2080.58,23,18.9,1682,2080.58,1682,1389.45
South Garo Hills,44.78,303.16,249,249,44.78,64,158.55,183,31.95,31.95,64,496.31,183,158.55,519,496.31,519,303.16
South West Garo Hills,4.88,701.56,367,367,4.88,7,17.06,21,1.86,1.86,7,917.05,21,17.06,789,917.05,789,701.56
South West Khasi Hills,1.82,284.64,223,223,1.82,2,8.10,10,0.93,0.93,2,871.87,10,8.1,659,871.87,659,284.64
West Garo Hills,124.1,1801.43,969,969,124.10,123,245.83,311,10.38,10.38,123,2369.37,311,245.83,1998,2369.37,1998,1801.43
West Jaintia Hills,1.09,1475.42,544,544,1.09,1,60.22,34,2.74,2.74,1,2195.43,34,60.22,1521,2195.43,1521,1475.42
West Khasi Hills,3.11,953.42,357,357,3.11,3,5.49,6,0.34,0.34,3,1602.83,6,5.49,920,1602.83,920,953.42
