district,a/c_micro_tl,medium_tl_amt,micro_a/c_wc,micro_tl_amt,micro_wc_amt,small_a/c_tl,small_a/c_wc,small_tl_amt,small_wc_amt,tl_a/c_medium
East Garo Hills,335,0,86,1020.81,688.15,2,3,72.75,114.25,0
East Jaintia Hills,250,0,282,3300.82,2129.72,13,4,637.25,134.63,0
East Khasi Hills,5033,9709.82,2655,36949.99,15256.06,221,119,18622.31,11638.4,35
North Garo Hills,461,0,189,1053.03,393.32,2,5,27.87,33.5,0
Ri Bhoi,555,6090.74,681,10922.81,4194.32,45,16,11149.71,4329.8,13
South Garo Hills,133,0,99,330.46,204.43,0,0,0,0,0
South West Garo Hills,130,0,214,761.5,570.43,5,1,164.17,54.72,0
South West Khasi Hills,135,0,191,579.97,370.37,4,1,17.5,5.83,0
West Garo Hills,1074,289.16,961,5648.26,5144.88,84,13,863.16,346.98,114
West Jaintia Hills,942,111.57,717,4671.83,3327.23,162,2,2292.13,71.18,5
West Khasi Hills,229,0,419,890.33,1276.27,11,0,6.52,0,0
