district,disb_total_amt_mudra,kishore_amt,kishore_no,sishu_amt,sishu_no,tarun_amt,tarun_no,total_disb_no_mudra
East Garo Hills,1292.51,333.69,215,212.01,620,746.81,98,933
East Jaintia Hills,1438.32,525.48,212,17.38,42,895.46,107,361
East Khasi Hills,18750.72,10455.28,8066,3107.5,8900,5187.94,668,17634
Eastern West Khasi Hills,244.55,70.51,32,6.6,16,167.44,23,71
North Garo Hills,719.44,402.49,170,25.67,137,291.28,40,347
Ri Bhoi,3037.55,1265.53,593,725.11,1902,1046.91,134,2629
South Garo Hills,363.42,130.24,54,13.1,106,220.08,28,188
South West Garo Hills,635.17,264.05,104,30.47,82,340.65,43,229
South West Khasi Hills,412.05,174.38,83,6.9,17,230.77,29,129
West Garo Hills,6128.33,1823.22,878,1285.14,3476,3019.97,382,4736
West Jaintia Hills,2795.14,1297.99,502,48.71,138,1448.44,191,831
West Khasi Hills,987.01,519.32,265,33.98,63,433.71,61,389
