district,agri_amt_nps,agri_no_nps,amt_housing_nps,loan_amt_personal,loan_no_personal,npa_prio_tot_sec_non_amt,nps_agri_no,nps_amt_education,nps_amt_housing,nps_no_education,nps_no_housing,other_amt_nps,other_no_nps,sec_tot_npa_non_no_prio,tot_npa_non_amt_prio_sec,tot_npa_prio_no_sec_non
East Garo Hills,0,0,0,129.71,96,408.99,0,0,0,0,0,279.28,195,291,408.99,291
East Jaintia Hills,0,0,0,42.44,33,198.82,0,0,0,0,0,156.38,180,213,198.82,213
East Khasi Hills,3.88,1,647.29,920.49,541,3621.02,1,0,647.29,0,21,2049.36,1409,1972,3621.02,1972
Eastern West Khasi Hills,0,,,29.58,8,,0,0,0,0,0,27.07,33,41,56.65,
North Garo Hills,0.09,1,0,190.98,111,350.77,1,0,0,0,0,159.7,179,291,350.77,291
Ri Bhoi,0.5,1,0,125.38,84,1405.26,1,0,0,0,0,1279.38,652,737,1405.26,737
South Garo Hills,1.89,1,0,122.63,78,262.04,1,0,0,0,0,137.52,85,164,262.04,164
South West Garo Hills,0,,,12.92,19,,1,0,0,0,0,172.64,136,156,185.56,
South West Khasi Hills,0,,,1.54,3,,0,0,0,0,0,2.03,12,15,3.57,
West Garo Hills,0,1,3.43,1180.07,693,2082.2,1,0,3.43,0,4,898.7,744,1442,2082.2,1442
West Jaintia Hills,0,0,6.88,159.62,87,431.75,0,0,6.88,0,1,265.25,207,295,431.75,295
West Khasi Hills,0,0,0,20.29,29,82.42,0,0,0,0,0,62.13,49,78,82.42,78
