district,deposits_held_in_a_c_amt,female_no,held_amt_in_the_a/c_deposits,male_no,no_of_aadhaar_seeded,no_of_balance_a/c_zero,no_of_issued_rupay_card,no_of_rupay_activated_card,no_of_rupay_card_issued,no_of_seeded_aadhaar,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_no_pmjdy,total_pmjdy_no,urban_no
East Garo Hills,1320.76,21024,1320.76,15245,17200,1894,24845,8679,24845,17200,1894,8679,26967,36269,36269,9302
East Jaintia Hills,4292.62,27537,4292.62,18293,18541,1386,21958,8178,21958,18541,1386,8178,42992,45830,45830,3285
East Khasi Hills,22451.64,103128,22451.64,78445,58386,17998,85415,47753,85415,58386,17998,47753,111308,181573,181573,72123
Eastern West Khasi Hills,3731.04,22578,3731.04,23044,12298,1237,15842,6592,15842,12298,1237,6592,31901,45622,45622,5885
North Garo Hills,1511.03,29819,1511.03,23421,18530,980,40989,10493,40989,18530,980,10493,46153,53240,53240,7102
Ri Bhoi,5553.53,47346,5553.53,34171,23986,3297,40311,17984,40311,23986,3297,17984,58434,81517,81517,34911
South Garo Hills,1049.32,14557,1049.32,12391,9669,1529,12675,5799,12675,9669,1529,5799,17348,26948,26948,9600
South West Garo Hills,2068.99,28826,2068.99,25782,21140,1486,36829,13465,36829,21140,1486,13465,50045,54608,54608,4563
South West Khasi Hills,1571.75,13805,1571.75,8410,7152,1529,12892,5959,12892,7152,1529,5959,17683,22215,22215,4532
West Garo Hills,5820.47,117128,5820.47,87960,67820,12100,142211,38726,142211,67820,12100,38726,176555,205088,205088,28539
West Jaintia Hills,5599.85,47870,5599.85,28520,22102,2911,35151,16259,35151,22102,2911,16259,53893,76390,76390,23675
West Khasi Hills,2922.90,25923,2922.9,21637,12820,1771,21186,8656,21186,12820,1771,8656,42631,47560,47560,12056
