district,der_current_pmay_disbursed_no_un_year,loan_no_rural_o/s_housing,loan_rural_amount_o/s_housing,nps_loan_amount_housing_o/s,o/s_loan_no_ps_housing,o/s_no_nps_loan_housing,o/s_no_pmay,o/s_under_loan_no_housing_pmay_eligible,pmay_amount_o/s,pmay_disbursed_current_year_amount_under,pmay_eligible_housing_amount_o/s_under_loan,ps_housing_amount_o/s_loan
East Garo Hills,0,9,82.77,987.13,75,90,1,1,10.22,0,10.22,459.18
East Jaintia Hills,0,87,1366.99,1237.47,76,36,1,2,1.77,0,8.74,706.17
East Khasi Hills,1,495,8365.11,80244.61,3273,4674,129,115,1897.22,8,1576.96,30782.68
North Garo Hills,0,53,635.32,534.54,127,65,0,0,0,0,0,586.32
Ri Bhoi,0,1195,23086.73,21032.97,851,1599,28,28,383.77,0,329.99,8304.12
South Garo Hills,0,3,48.82,855.17,70,68,0,0,0,0,0,474.33
South West Garo Hills,0,46,942.79,710.39,45,60,0,0,0,0,0,428
South West Khasi Hills,0,41,585.11,472.33,37,30,0,0,0,0,0,309.4
West Garo Hills,0,148,1350.64,12400.93,627,1041,14,12,88.11,0,83.27,4686.5
West Jaintia Hills,0,88,1097.07,3253.47,428,168,13,7,126.01,2.41,17.82,4640.56
West Khasi Hills,0,28,266.15,485.48,142,39,30,29,213.78,0,207.34,1174.76
