district,a/c_exp_nps_credit,a/c_ing_nps_hous,a/c_nps_cation_edu,a/c_nps_others,amt_nps_cation_edu,amt_nps_credit_exp,amt_nps_culture_agri,amt_nps_housing,amt_nps_msme,der_loans_a/c_nps_un_personal,der_loans_amt_nps_un_personal,disb_nps_acp_total_no,no_nps_culture_agri,no_nps_msme,nps_others_amt,nps_total_amt_disb_acp
East Garo Hills,0,22,0,1764,0,0,0,320.26,0,529,1899.97,2315,0,0,8956.33,11176.56
East Jaintia Hills,0,14,0,1522,0,0,1.5,287.67,0,466,1962.42,2004,2,0,10641.04,12892.63
East Khasi Hills,0,957,1176,34629,9587.55,0,10.1,17146.92,0,9508,51304.23,46280,10,0,425303.73,503352.53
North Garo Hills,0,19,0,1033,0,0,0,148.49,0,284,714.57,1336,0,0,5809.39,6672.45
Ri Bhoi,0,344,3,7252,49,0,4.5,5415.79,0,1441,5130.03,9041,1,0,67094.03,77693.35
South Garo Hills,0,24,0,684,0,0,0,191.48,0,239,822.26,947,0,0,4155.7,5169.44
West Garo Hills,0,165,5,6074,122.85,0,0,1851.99,0,1819,6651.73,8063,0,0,29907.68,38534.25
West Khasi Hills,0,16,1,640,4.13,0,1.15,88.45,0,515,1973.12,1173,1,0,3368.13,5434.98
