district,apy_enrolment_under,enrolment_pmjjby_under,enrolment_pmsby_under,renewals_pmjjby_under,renewals_pmsby_under,total_no_enrolment,under_eligible_cases_pmjjby,under_eligible_pmsby_cases
East Garo Hills,2729,48536,98269,7365,19636,149534,62606,93925
East Jaintia Hills,2296,39185,62378,15512,27941,103859,84636,106589
East Khasi Hills,19185,185138,333331,61046,104834,537654,624312,842374
Eastern West Khasi Hills,1024,17458,26538,7663,14964,45020,59854,76167
North Garo Hills,8604,52885,99256,8310,21406,160745,67780,108902
Ri Bhoi,5137,79124,157914,19036,44166,242175,175217,233213
South Garo Hills,1535,19907,46392,2925,8901,67834,47956,70736
South West Garo Hills,3490,83990,184093,11786,35200,271573,64052,107502
South West Khasi Hills,530,14024,29517,4100,11669,44071,44278,59640
West Garo Hills,13123,216687,456711,31395,89726,686521,239222,382626
West Jaintia Hills,2926,54308,103898,22491,42054,161132,180925,229265
West Khasi Hills,1286,24836,46434,11703,22219,72556,85693,108890
