district,agri_amt_%_npa,ps_total_o/s_no_msme,tot_npa_agri_amt_ps,tot_npa_agri_no_ps,tot_npa_msme_amt_ps,tot_npa_msme_no_ps,total_o/s_agri_amt_ps,total_o/s_agri_no_ps,total_o/s_amt_msme_ps
East Garo Hills,21.17,2070,1179.41,3433,484.87,923,5570.14,5959,3955.78
East Jaintia Hills,4.79,2384,236.83,424,803.92,220,4940.12,2702,12136.6
East Khasi Hills,2.87,21028,4099.52,6484,11324.2,3512,142752.47,32718,287148.94
Eastern West Khasi Hills,7.35,1616,406.82,1253,119.22,90,5538.54,8308,3366.99
North Garo Hills,43.86,1709,1707.41,4699,414.69,609,3893.17,6901,2541.86
Ri Bhoi,29.09,5064,8430.22,16471,910.19,777,28984.65,38796,66783.73
South Garo Hills,29.32,1094,833.11,2348,420.28,464,2841.77,3677,1786.33
South West Garo Hills,26.64,1367,1232.82,4170,310.2,228,4627.75,8465,3206.4
South West Khasi Hills,6.22,961,172.7,381,108.72,65,2777.97,3230,1995.81
West Garo Hills,21.17,7962,2956.06,8701,2194.46,2136,13963.44,17555,21436.58
West Jaintia Hills,5.87,6265,1118.97,2083,1694.6,763,19066.75,7468,22446.39
West Khasi Hills,28.93,2163,1852.1,3569,645.59,372,6402.28,7951,4949.72
