district,a/c_bhim/upi,a/c_bhim_aadhaar,a/c_ussd,amt_bhim/upi,amt_ussd,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,cards_credit_a/c_debit,code_bharat_a/c_qr,code_bharat_amt_qr,debit_credit_cards_a_c,debit_credit_cards_amt,haar_bhim_amt_aad,imps_a/c,imps_a_c,imps_amt,it_cards_amt_credit_deb,ussd_a_c,ussd_amt
East Garo Hills,466626,4301900,139802,16799.63,5876.27,480,419.04,4301900,53458.92,466626,16799.63,58838,480,419.04,58838,2433.89,53458.92,41071,41071,6365.69,2433.89,139802,5876.27
East Jaintia Hills,2604774,3208453,86908,88123.18,4195.72,1520,814.12,3208453,64855.44,2604774,88123.18,172348,1520,814.12,172348,8542.93,64855.44,94440,94440,445575.34,8542.93,86908,4195.72
East Khasi Hills,16107434,32004325,2754581,764735.35,94062.16,9154,4724.77,32004325,533704.79,16107434,764735.35,3208258,9154,4724.77,3208258,129323.87,533704.79,746648,746648,1388181.42,129323.87,2754581,94062.16
Eastern West Khasi Hills,455778,809711,54696,9133.66,2353.9,0,0.00,809711,13423.12,455778,9133.66,101599,0,0,101599,3748.52,13423.12,14030,14030,2706.53,3748.52,54696,2353.90
North Garo Hills,367874,4941572,141028,5324.24,6227.35,3,0.31,4941572,62225.66,367874,5324.24,50970,3,0.31,50970,1986.73,62225.66,6954,6954,1161.87,1986.73,141028,6227.35
Ri Bhoi,3146111,8980573,478104,97505.98,17790.04,2241,1203.24,8980573,145280.41,3146111,97505.98,408661,2241,1203.24,408661,15627.58,145280.41,75675,75675,430609.22,15627.58,478104,17790.04
South Garo Hills,113887,2875899,65849,3522.7,2846.61,1,7.13,2875899,41152.03,113887,3522.70,21153,1,7.13,21153,801.28,41152.03,3926,3926,838.55,801.28,65849,2846.61
South West Garo Hills,1072013,4026725,116429,41338.89,4849.62,11,0.50,4026725,57308.85,1072013,41338.89,34085,11,0.5,34085,1444.08,57308.85,71589,71589,11489.83,1444.08,116429,4849.62
South West Khasi Hills,125688,885730,68092,2808.37,3156.24,199,128.98,885730,15134.49,125688,2808.37,99274,199,128.98,99274,4364.79,15134.49,4324,4324,1007.16,4364.79,68092,3156.24
West Garo Hills,2346925,19463362,570322,91956.64,22815.14,1938,1279.40,19463362,313833.02,2346925,91956.64,273886,1938,1279.4,273886,11337.51,313833.02,117707,117707,308317.9,11337.51,570322,22815.14
West Jaintia Hills,1655686,4201021,238698,61025.43,9563.81,1084,447.51,4201021,68317.70,1655686,61025.43,381277,1084,447.51,381277,15583.33,68317.7,59780,59780,224053.44,15583.33,238698,9563.81
West Khasi Hills,979203,1557800,87831,21478.33,3618.3,66,25.12,1557800,26720.32,979203,21478.33,201551,66,25.12,201551,7772.90,26720.32,25832,25832,5055.87,7772.9,87831,3618.30
