district,amt_npa_shg,credit_current_amount_fy_linked,credit_during_amount_quarter_the_linked,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,fy_amount_linked_current_savings,fy_linked_current_no_credit,linked_during_savings_quarter_no_the,linked_quarter_during_the_amount_savings,no_npa_shg,no_o/s_shg,npa_amt,npa_no,npa_pct,os_amt,os_no,rent_no_cur_linked_savings_fy,savings_linked_amt,savings_linked_no,savings_linked_no_cy,shg_amt_%_npa,shg_amt_o/s,ter_the_no_linked_during_credit_quar
East Garo Hills,4.43,364.95,180.47,364.95,281,119,180.47,108.70,160.73,281,761,108.7,14,202,4.43,14,2.33,190.21,202,920,160.73,920,761,2.33,190.21,119
East Jaintia Hills,8.2,706.3,353.5,706.30,272,108,353.50,0.03,108.02,272,3,0.03,7,945,8.20,7,0.62,1328.14,945,77,108.02,77,3,0.62,1328.14,108
East Khasi Hills,15.47,2315.41,735.42,2315.41,1405,401,735.42,194.50,265.77,1405,569,194.5,18,2213,15.47,18,0.50,3120.41,2213,1298,265.77,1298,569,0.5,3120.41,401
Eastern West Khasi Hills,,,,1061.53,353,131,361.58,27.32,,,,,,,7.56,7,0.40,1882.51,936,,28.31,96,54,,,
North Garo Hills,12.68,469.39,188.5,469.39,495,160,188.50,166.45,171.83,495,1097,166.45,13,184,12.68,13,5.77,219.80,184,1324,171.83,1324,1097,5.77,219.8,160
Ri Bhoi,35.58,1363.14,497.3,1363.14,514,166,497.30,140.26,159.93,514,369,140.26,49,1713,35.58,49,1.70,2097.43,1713,568,159.93,568,369,1.7,2097.43,166
South Garo Hills,8.85,292.92,39.5,292.92,284,38,39.50,196.12,198.42,284,727,196.12,34,398,8.85,34,2.94,300.81,398,812,198.42,812,727,2.94,300.81,38
South West Garo Hills,,,,428.50,211,116,242.50,31.04,,,,,,,10.72,25,1.63,656.82,609,,34.79,479,359,,,
South West Khasi Hills,,,,364.78,228,40,50.50,77.60,,,,,,,1.82,2,0.21,879.42,612,,85.68,561,495,,,
West Garo Hills,40.42,1550.58,457.34,1550.58,839,216,457.34,338.59,361,839,1510,338.59,106,1442,40.42,106,2.49,1625.94,1442,1987,361.00,1987,1510,2.49,1625.94,216
West Jaintia Hills,3.73,1509.9,582.5,1509.90,551,179,582.50,94.75,163.31,551,73,94.75,5,1411,3.73,5,0.19,2005.87,1411,249,163.31,249,73,0.19,2005.87,179
West Khasi Hills,15.69,856.98,388.45,856.98,327,140,388.45,2.80,24.29,327,48,2.8,30,926,15.69,30,1.01,1560.70,926,145,24.29,145,48,1.01,1560.7,140
