District,name_of_the_district,cd_ratio
Alluri Sitharama Raju,,129.0
Anakapalli,,180.0
Anantapur,,166.0
Annamayya,,163.0
Bapatla,,198.0
Chittoor,,139.0
East Godavari,,184.0
Eluru,,195.0
Guntur,,140.0
Kakinada,,158.0
Konaseema,,213.0
Krishna,,183.0
Kurnool,,157.0
Nandyal,,192.0
Ntr,,171.0
Palnadu,,250.0
Parvathipuram Manyam,,171.0
Prakasam,,202.0
Spsr Nellore,,180.0
Sri Sathya Sai,,169.0
Srikakulam,,158.0
Tirupati,,82.0
Visakhapatanam,,121.0
Vizianagaram,,166.0
West Godavari,,217.0
Y.s.r.,,169.0
