district,total_atm,atm_rural,atm_semi_urban,atm_urban,atm_rural_prev_fy,atm_rural_prev_q,atm_rural_growth_abs,atm_rural_growth_pct,atm_semi_urban_prev_fy,atm_semi_urban_prev_q,atm_semi_urban_growth_abs,atm_semi_urban_growth_pct,atm_urban_prev_fy,atm_urban_prev_q,atm_urban_growth_abs,atm_urban_growth_pct,atm_total_prev_fy,atm_total_prev_q,atm_total_growth_abs,atm_total_growth_pct
Balod,92,41,50,1,37,32,4,10.8108,46,46,4,8.6957,1,1,0,0,84,79,8,9.5238
Baloda Bazar,96,24,70,2,20,18,4,20,72,69,-2,-2.7778,2,1,0,0,94,88,2,2.1277
Balrampur,37,18,17,2,18,16,0,0,15,15,2,13.3333,1,0,1,100,34,31,3,8.8235
Bastar,112,25,4,83,22,17,3,13.6364,5,4,-1,-20,83,84,0,0,110,105,2,1.8182
Bemetara,60,26,33,1,21,20,5,23.8095,30,32,3,10,1,1,0,0,52,53,8,15.3846
Bijapur,20,9,11,0,8,8,1,12.5,11,10,0,0,0,0,0,0,19,18,1,5.2632
Bilaspur,323,28,36,259,28,25,0,0,34,30,2,5.8824,258,259,1,0.3876,320,314,3,0.9375
Dantewada,51,6,45,0,6,6,0,0,43,42,2,4.6512,0,0,0,0,49,48,2,4.0816
Dhamtari,94,23,26,45,21,18,2,9.5238,25,23,1,4,46,46,-1,-2.1739,92,87,2,2.1739
Durg,464,50,30,384,49,47,1,2.0408,29,28,1,3.4483,383,370,1,0.2611,461,445,3,0.6508
Gariaband,50,25,24,1,23,18,2,8.6957,23,23,1,4.3478,0,0,1,0,46,41,4,8.6957
Gaurela-Pendra-Marwahi,24,1,22,1,0,0,1,0,22,22,0,0,1,1,0,0,23,23,1,4.3478
Janjgir-Champa,115,37,77,1,35,45,2,5.7143,74,93,3,4.0541,1,2,0,0,110,140,5,4.5455
Jashpur,60,11,47,2,10,9,1,10,46,45,1,2.1739,2,2,0,0,58,56,2,3.4483
Kabirdham,74,18,55,1,15,14,3,20,53,53,2,3.7736,1,1,0,0,69,68,5,7.2464
Kanker,81,28,52,1,24,19,4,16.6667,48,50,4,8.3333,1,1,0,0,73,70,8,10.9589
Khairagarh-Chhuikhadan-Gandai,26,9,15,2,7,0,2,28.5714,14,0,1,7.1429,2,0,0,0,23,0,3,13.0435
Kondagaon,44,7,35,2,5,4,2,40,33,32,2,6.0606,1,0,1,100,39,36,5,12.8205
Korba,174,23,22,129,21,18,2,9.5238,21,19,1,4.7619,126,128,3,2.381,168,165,6,3.5714
Korea,44,3,39,2,2,10,1,50,38,59,1,2.6316,1,2,1,100,41,71,3,7.3171
Mahasamund,98,32,66,0,31,24,1,3.2258,67,67,-1,-1.4925,0,0,0,0,98,91,0,0
Manendragarh-Chirmiri-Bharatpur,37,9,26,2,8,0,1,12.5,23,0,3,13.0435,1,0,1,100,32,0,5,15.625
Mohla-Manpur-Ambagarh Chowki,18,17,1,0,15,0,2,13.3333,1,0,0,0,0,0,0,0,16,0,2,12.5
Mungeli,43,6,29,8,6,6,0,0,27,26,2,7.4074,8,7,0,0,41,39,2,4.878
Narayanpur,21,1,20,0,1,1,0,0,20,19,0,0,0,0,0,0,21,20,0,0
Raigarh,162,30,39,93,27,32,3,11.1111,39,64,0,0,92,90,1,1.087,158,186,4,2.5316
Raipur,784,87,67,630,77,67,10,12.987,64,66,3,4.6875,638,617,-8,-1.2539,779,750,5,0.6418
Rajnandgaon,128,20,19,89,19,38,1,5.2632,19,33,0,0,89,91,0,0,127,162,1,0.7874
Sakti,44,19,24,1,16,0,3,18.75,22,0,2,9.0909,1,0,0,0,39,0,5,12.8205
Sarangarh-Bilaigarh,44,15,28,1,12,0,3,25,28,0,0,0,1,0,0,0,41,0,3,7.3171
Sukma,16,7,9,0,6,3,1,16.6667,10,10,-1,-10,0,0,0,0,16,13,0,0
Surajpur,58,16,40,2,13,11,3,23.0769,38,35,2,5.2632,2,2,0,0,53,48,5,9.434
Surguja,110,26,2,82,23,18,3,13.0435,1,1,1,100,81,78,1,1.2346,105,97,5,4.7619
