district,acp_agri_target,acp_agri_achievement,acp_agri_pct,acp_msme_target,acp_msme_achievement,acp_msme_pct,acp_other_psa_target,acp_other_psa_achievement,acp_other_psa_pct,acp_total_target,acp_total_achievement,acp_total_pct
Balod,1043.85,755.65,72.3907,217.25,274.06,126.1496,81.76,37.95,46.4163,1342.86,1067.66,79.5064
Baloda Bazar,1828.46,1282.08,70.118,364.39,445.4,122.2317,132.87,72.79,54.7829,2325.72,1800.27,77.407
Balrampur,262.6,272.32,103.7014,120,114.04,95.0333,80.6,16.29,20.2109,463.2,402.65,86.9279
Bastar,706.99,486.25,68.7775,366.57,499.08,136.1486,92.16,42.72,46.3542,1165.72,1028.05,88.1901
Bemetara,1606.72,1143.77,71.1866,184.99,166.51,90.0103,80.17,25.04,31.2336,1871.88,1335.32,71.3358
Bijapur,106.53,104.72,98.3009,6.35,22.94,361.2598,11.5,2.47,21.4783,124.38,130.13,104.6229
Bilaspur,2087.05,1181.18,56.5957,2020,3513.98,173.9594,287.28,225.98,78.6619,4394.33,4921.14,111.9884
Dantewada,75.48,41.94,55.5644,52.28,69.04,132.0581,10.12,8.84,87.3518,137.88,119.82,86.9017
Dhamtari,1901.01,1123.64,59.1075,322,368.93,114.5745,105,56.84,54.1333,2328.01,1549.41,66.5551
Durg,2904.27,1527.05,52.5795,1003.86,4818.59,480.0062,185.57,290.84,156.7279,4093.7,6636.48,162.1145
Gariaband,900.45,499.17,55.4356,77.43,137.97,178.1867,84.19,8.57,10.1794,1062.07,645.71,60.7973
Gaurela-Pendra-Marwahi,285.04,135.33,47.4775,220.97,110.3,49.9163,102.09,10.91,10.6866,608.1,256.54,42.1871
Janjgir-Champa,989.82,624.69,63.1115,264,446.77,169.2311,92.76,86.96,93.7473,1346.58,1158.42,86.0268
Jashpur,616.2,237.51,38.5443,74.38,238.41,320.5297,60.07,35.33,58.8147,750.65,511.25,68.1076
Kabirdham,1390.85,952.97,68.5171,130.25,283.79,217.881,112.58,141.21,125.4308,1633.68,1377.97,84.3476
Kanker,687.23,643.34,93.6135,273.49,271.14,99.1407,214.48,32.25,15.0364,1175.2,946.73,80.5591
Khairagarh-Chhuikhadan-Gandai,681.65,507.34,74.4282,23,40.88,177.7391,26.03,69.54,267.1533,730.68,617.76,84.5459
Kondagaon,428.21,319.03,74.5032,78.5,161.49,205.7197,45.24,19.29,42.6393,551.95,499.81,90.5535
Korba,510.89,310.48,60.7724,485.51,1263.42,260.2253,142.35,90.4,63.5054,1138.75,1664.3,146.1515
Korea,122.72,115.7,94.2797,60.51,99.43,164.3199,46.14,14.11,30.5808,229.37,229.24,99.9433
Mahasamund,2219.23,1307.89,58.9344,255.85,343.76,134.36,88.53,44.35,50.096,2563.61,1696,66.1567
Manendragarh-Chirmiri-Bharatpur,170.61,176.97,103.7278,64.62,152.04,235.2832,45.72,9.28,20.2975,280.95,338.29,120.4093
Mohla-Manpur-Ambagarh Chowki,214.45,169.21,78.9042,22.67,26.98,119.0119,29.91,40.18,134.3363,267.03,236.37,88.5181
Mungeli,684.82,409.12,59.7412,138.96,128.17,92.2352,170.62,17.34,10.1629,994.4,554.63,55.7753
Narayanpur,67,50.85,75.8955,15.42,31.95,207.1984,17.79,7.78,43.7324,100.21,90.58,90.3902
Raigarh,1047.12,620.7,59.2769,521.11,1611.17,309.1804,407.99,81.81,20.052,1976.22,2313.68,117.076
Raipur,6622.71,3931.94,59.3706,5882.65,16358.22,278.0757,1828.02,2327.77,127.3383,14333.38,22617.93,157.799
Rajnandgaon,1989.15,1126.69,56.6418,199.21,679.79,341.2429,193.96,194.83,100.4485,2382.32,2001.31,84.0068
Sakti,671.54,401.28,59.7552,178.55,278.35,155.8947,53.74,36.69,68.2732,903.83,716.32,79.2538
Sarangarh-Bilaigarh,535.27,368.63,68.868,234.98,90.62,38.565,30.83,10.32,33.4739,801.08,469.57,58.6171
Sukma,109.7,55.21,50.3282,17.78,26.87,151.1249,6.63,4.94,74.5098,134.11,87.02,64.887
Surajpur,629.22,382.36,60.7673,87.65,228.79,261.0268,86.08,27.4,31.8309,802.95,638.55,79.5255
Surguja,915.79,546.78,59.7058,278.55,839.86,301.5114,34.69,59.77,172.2975,1229.03,1446.41,117.6871
