district,total_deposit,total_advance,overall_cd_ratio,deposits_prev_fy,deposits_prev_quarter,deposits_growth_abs,deposits_growth_pct,advances_prev_fy,advances_prev_quarter,advances_growth_abs,advances_growth_pct,cd_ratio_prev_fy,cd_ratio_prev_quarter,cd_ratio_benchmark
Balod,5133.77,2058.84,40.1039,4535.91,4487.6,597.86,13.1806,1695.96,1602.2,362.88,21.3967,37.3896,35.7028,40
Baloda Bazar,5561.74,3513.44,63.1716,5042.48,5405.34,519.26,10.2977,2935.82,2927.5,577.62,19.6749,58.2217,54.1594,40
Balrampur,2587.51,1149.81,44.4369,2381.18,2292.84,206.33,8.665,955.22,927.38,194.59,20.3712,40.1154,40.4468,40
Bastar,6172.58,3640.09,58.9719,5191.25,5088.21,981.33,18.9035,3264.78,3096.97,375.31,11.4957,62.8901,60.8656,40
Bemetara,3829,2240.63,58.5174,3238.25,3251.81,590.75,18.2429,1711.63,1720.45,529,30.9062,52.8566,52.9075,40
Bijapur,996.87,608.42,61.033,972.59,949.87,24.28,2.4964,478.7,468.01,129.72,27.0984,49.2191,49.271,40
Bilaspur,27986.3,16566.06,59.1935,26224.65,26709.09,1761.65,6.7175,13409.54,12417.64,3156.52,23.5394,51.1333,46.4922,40
Dantewada,2481.98,2575.74,103.7776,2435.54,2328.07,46.44,1.9068,3093.55,2047.96,-517.81,-16.7384,127.017,87.9681,40
Dhamtari,5410.45,3306.24,61.1084,4728.12,4698.5,682.33,14.4313,2866.42,2712.95,439.82,15.3439,60.6249,57.7408,40
Durg,32602.41,19258.65,59.0712,29815.92,29834.75,2786.49,9.3456,15933.99,15830.42,3324.66,20.8652,53.4412,53.0603,40
Gariaband,2046.82,1249.05,61.0239,1921.86,1841.4,124.96,6.502,1028.96,948.57,220.09,21.3896,53.5398,51.5135,40
Gaurela-Pendra-Marwahi,1297.96,691.28,53.259,1232.82,1185.47,65.14,5.2838,529.5,497.67,161.78,30.5534,42.9503,41.9808,40
Janjgir-Champa,6330.13,3412.48,53.9085,5808.27,7950.78,521.86,8.9848,2740.04,3713.28,672.44,24.5412,47.1748,46.7033,40
Jashpur,3764.67,1830.62,48.6263,3447.69,3372.65,316.98,9.194,1520.48,1425.4,310.14,20.3975,44.1014,42.2635,40
Kabirdham,2994.22,2433.66,81.2786,2804.33,2647.81,189.89,6.7713,1834.73,1859.33,598.93,32.644,65.4249,70.2214,40
Kanker,3965.31,2360.44,59.5273,3532.01,3435.01,433.3,12.2678,1935.97,1889.57,424.47,21.9254,54.8121,55.0092,40
Khairagarh-Chhuikhadan-Gandai,1516.14,863.02,56.9222,1248.42,0,267.72,21.4447,598.29,0,264.73,44.2478,47.9238,0,40
Kondagaon,2212.02,1444.17,65.2874,2020.75,1950.3,191.27,9.4653,1232.58,1173.67,211.59,17.1664,60.9962,60.1789,40
Korba,11423.6,7023.7,61.4841,10601.24,10544.3,822.36,7.7572,6237.21,5722.28,786.49,12.6096,58.8347,54.2689,40
Korea,2150.39,1894.24,88.0882,2029.1,5498.17,121.29,5.9775,1724.61,2688.97,169.63,9.8358,84.9938,48.9066,40
Mahasamund,4995.47,3898.31,78.0369,4213.02,4142.06,782.45,18.5722,3190.55,3039.89,707.76,22.183,75.7307,73.3908,40
Manendragarh-Chirmiri-Bharatpur,3608.7,1154.02,31.9788,3571.73,0,36.97,1.0351,1037.24,0,116.78,11.2587,29.0403,0,40
Mohla-Manpur-Ambagarh Chowki,1015.68,356.05,35.0553,946.39,0,69.29,7.3215,251.61,0,104.44,41.5087,26.5863,0,40
Mungeli,2242.93,1366.28,60.915,1982.27,1956.81,260.66,13.1496,1125.71,1095.7,240.57,21.3705,56.7889,55.9942,40
Narayanpur,772.72,370.7,47.9734,715.11,687.05,57.61,8.0561,301.38,281.99,69.32,23.0009,42.1446,41.0436,40
Raigarh,9856.28,7942.3,80.5811,9329.78,10321.46,526.5,5.6432,6669.93,7142.21,1272.37,19.0762,71.4908,69.1977,40
Raipur,80957.19,93178.72,115.0963,74635.04,70528.79,6322.15,8.4708,81721.78,76047.5,11456.94,14.0194,109.4952,107.8248,40
Rajnandgaon,8092.49,4592.35,56.7483,6834.63,8944.17,1257.86,18.4042,3735.14,4380.83,857.21,22.9499,54.6502,48.9797,40
Sakti,2771.3,1416.21,51.1027,2436.84,0,334.46,13.7252,1179.1,0,237.11,20.1094,48.3864,0,40
Sarangarh-Bilaigarh,2144.77,1152.27,53.7246,1850.77,0,294,15.8853,934.36,0,217.91,23.3218,50.4849,0,40
Sukma,1068.09,471.2,44.1161,948.14,873.33,119.95,12.6511,397.02,393.36,74.18,18.6842,41.8736,45.0414,40
Surajpur,4588.93,1778.02,38.7459,4264.54,4108.3,324.39,7.6067,1497.65,1456.44,280.37,18.7207,35.1187,35.4512,40
Surguja,7765.52,3898.09,50.1974,6931.2,6785.5,834.32,12.0372,3404.12,3241.1,493.97,14.5109,49.113,47.7651,40
