district,Total Br(s),Current Year Self-Help Group No.,Amt.,NRLM O/S No.,Amt.,NRLM Irregular No.,Amt.,NRLM NPA No.,Amt.,%
Aizawl,110,63,4.81,169,4.81,19,4.81,2,4.81,1.73
Champhai,17,116,14.29,372,14.29,51,14.29,12,14.29,1.4
Hnahthial,5,21,0,20,0,1,0,0,0,0
Khawzawl,8,64,22.76,162,22.76,6,22.76,15,22.76,9.94
Kolasib,20,86,34.4,322,34.4,34,34.4,27,34.4,5.86
Lawngtlai,12,118,29.48,239,29.48,22,29.48,35,29.48,10.34
Lunglei,22,41,0,58,0,16,0,0,0,0
Mamit,13,172,21.34,387,21.34,44,21.34,16,21.34,3.72
Saiha,7,152,79.91,330,79.91,20,79.91,62,79.91,12.52
Saitual,10,87,1.68,140,1.68,26,1.68,1,1.68,0.55
Serchhip,15,149,10.95,392,10.95,82,10.95,9,10.95,1.47
