district,Total Br(s),Sishu,Kishore,Tarun,Total MUDRA Disb.
Aizawl,110,3709,3834,662,8205
Champhai,17,42,194,59,295
Hnahthial,5,30,26,8,64
Khawzawl,8,45,69,17,131
Kolasib,20,555,1483,69,2107
Lawngtlai,12,60,188,83,331
Lunglei,12,132,334,122,588
Mamit,13,22,84,13,119
Saiha,7,9,34,35,78
Saitual,10,36,120,23,179
Serchhip,15,38,179,55,272
