district,Branches Rural,Semi- Urban,Urban,Total,ATMs Rural,Semi- Urban,Urban,Total,CSPs Fixed,Others,Total
Aizawl,20,0,128,70,5,0,128,70,44,22,70
Champhai,4,10,0,35,0,10,0,35,32,3,35
Hnahthial,4,1,0,7,1,1,0,7,3,4,7
Khawzawl,5,2,0,20,1,2,0,20,20,0,20
Kolasib,6,10,0,37,1,10,0,37,32,4,37
Lawngtlai,5,5,0,55,1,5,0,55,55,0,55
Lunglei,7,16,0,39,1,16,0,39,32,7,39
Mamit,12,2,0,34,4,2,0,34,34,0,34
Saiha,1,7,0,26,0,7,0,26,25,1,26
Saitual,6,2,0,10,1,2,0,10,10,0,10
Serchhip,8,5,0,23,1,5,0,23,23,0,23
