District,Total Br,Numberofoperative CASA,Numberof Aadhaarseeded CASA,Numberof Authenticated CASA
Aizawl,110,452778,316563,137822
Champhai,17,60667,42363,10054
Hnahthial,5,17010,11962,3703
Khawzawl,8,21528,15420,3362
Kolasib,20,77331,49890,13211
Lawngtlai,12,87421,52026,17528
Lunglei,22,100473,65834,20132
Mamit,13,45329,30508,6316
Saiha,7,44584,28888,6689
Saitual,10,25335,17809,4323
Serchhip,15,46768,33896,4099
