district,Total Br(s),Current Year Female Account,Current Year Male Account to SC,Current Year Male Account to ST,Total Current Year SUI Disb
Aizawl,110,65,6,70,141
Champhai,17,1,0,2,3
Hnahthial,5,0,0,0,0
Khawzawl,5,0,0,1,1
Kolasib,20,3,0,1,4
Lawngtlai,12,2,0,3,5
Lunglei,22,3,0,6,9
Mamit,13,2,0,0,2
Saiha,7,1,0,0,1
Saitual,10,0,0,3,3
Serchhip,15,0,0,0,0
