District,Total Branch,Crop,Term Loan,Agri Infra,Ancillary,Agri Total NPA
Aizawl,110,5445,797,0,21,6263
Champhai,17,150,830,0,8,988
Hnahthial,5,57,41,0,0,98
Khawzawl,8,41,181,0,2,224
Kolasib,20,149,159,0,26,334
Lawngtlai,12,355,351,0,14,720
Lunglei,22,54,271,0,5,330
Mamit,13,46,118,0,3,167
Saiha,7,179,618,0,2,799
Saitual,10,86,117,0,5,208
Serchhip,15,18,111,0,2,131
