District,Total Br(s),MICRO,SMALL,MEDIUM,OTHER MSME,MSME Total O/S
Aizawl,110,13177,1112,39,55,14383
Champhai,17,1950,46,0,31,2027
Hnahthial,5,356,8,0,10,374
Khawzawl,8,638,17,2,5,662
Kolasib,20,2765,35,0,21,2821
Lawngtlai,12,1324,27,0,14,1365
Lunglei,22,3566,98,0,9,3673
Mamit,13,1286,21,0,16,1323
Saiha,7,894,21,0,1,916
Saitual,10,880,2,0,5,887
Serchhip,15,1749,41,0,8,1798
