district,Total Br(s),In- active CSPs,RuPaycardactivein PMJDY,Firsttimeactive RuPaycard,Aadhaar Authenti- cated SB accounts,RuPaycardissuedin KCC
Aizawl,110,70,49471,19791,119128,1655
Champhai,17,15,8877,1235,10627,160
Hnahthial,5,3,3930,2093,3603,20
Khawzawl,8,11,4506,897,4565,91
Kolasib,20,15,14742,3626,12308,193
Lawngtlai,12,29,23408,11886,14981,131
Lunglei,22,7,25980,8194,19167,93
Mamit,13,16,9171,1764,6217,26
Saiha,7,19,7513,1497,7915,418
Saitual,10,5,5164,1311,4605,351
Serchhip,15,12,7792,1150,5621,149
