District,Total Br,PMJJBY,PMSBY,APY,Total Enrolment
Aizawl,110,54461,237421,8920,300802
Champhai,17,14571,38367,1041,53979
Hnahthial,5,4656,10799,235,15690
Khawzawl,8,5036,18881,154,24071
Kolasib,20,16252,44153,1949,62354
Lawngtlai,12,15779,60898,1383,78060
Lunglei,22,17835,73488,2461,93784
Mamit,13,12193,46789,955,59937
Saiha,7,6724,28733,586,36043
Saitual,10,7822,22810,504,31136
Serchhip,15,16965,38013,979,55957
