district,Total Br(s),SANCTION No.,Amt.,DISBURSED No.,Amt.,O/S No.,Amt.,NPA No.,Amt.,%
Aizawl,110,331,454.04,295,454.04,974,454.04,211,454.04,12.88
Champhai,17,37,22.14,37,22.14,152,22.14,12,22.14,5.95
Hnahthial,5,25,4.27,21,4.27,68,4.27,2,4.27,2.17
Khawzawl,8,24,7.83,19,7.83,81,7.83,4,7.83,2.98
Kolasib,20,59,101.95,64,101.95,224,101.95,35,101.95,10.54
Lawngtlai,12,67,90.93,60,90.93,245,90.93,61,90.93,21.78
Lunglei,22,131,63.04,115,63.04,545,63.04,33,63.04,4.6
Mamit,13,55,93.54,51,93.54,245,93.54,35,93.54,13.64
Saiha,7,11,60.2,10,60.2,118,60.2,28,60.2,21.96
Saitual,10,57,48.58,56,48.58,143,48.58,16,48.58,8.55
Serchhip,15,103,42.46,102,42.46,249,42.46,14,42.46,5.39
