district,Total Branch,Agri NPS No.,Agri NPS Amt.,Education NPS No.,Education NPS Amt.,Housing NPS No.,Housing NPS Amt.,Personal Loan No.,Personal Loan Amt.,Other NPS No.,Other NPS Amt.,Tot NPS O/S No.,Tot NPS O/S Amt.,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt.,NPS NPA Amt.%
Bajali,34,71,76.16,1,56.24,906,"7,442.28","3,030","5,153.80","18,797","45,616.13","22,805","58,344.61","2,050",733.61,1.26
Baksa,34,15,56.20,3,71.21,435,"3,892.53","1,720","3,875.53","8,961","26,135.73","11,134","34,031.20",975,"1,101.67",3.24
Barpeta,90,157,294.41,16,373.60,"2,019","18,880.57","11,686","18,942.74","59,619","133,172.93","73,497","171,664.25","9,747","3,933.18",2.29
Biswanath,62,24,72.89,7,180.75,"1,262","9,231.51","4,374","6,382.77","22,728","50,217.53","28,395","66,085.45","3,992","1,045.04",1.58
Bongaigaon,66,125,134.79,15,334.63,"2,633","29,310.28","10,095","20,365.51","42,689","118,510.18","55,557","168,655.39","4,441","2,938.77",1.74
Cachar,168,52,65.24,20,492.21,"3,391","34,853.98","17,295","29,551.37","120,877","224,190.56","141,635","289,153.36","15,322","6,866.70",2.37
Charaideo,36,1,0.00,3,72.19,364,"3,035.30","2,053","3,024.36","10,868","28,743.95","13,289","34,875.80",963,452.90,1.30
Chirang,39,213,821.22,5,62.51,739,"5,657.41","2,523","3,565.42","13,240","37,672.00","16,720","47,778.56","1,439",479.85,1.00
Darrang,70,38,81.10,8,208.53,"1,809","13,845.59","7,423","11,970.92","39,209","76,535.33","48,487","102,641.47","8,831","2,675.27",2.61
Dhemaji,47,17,58.97,2,40.85,"1,894","10,023.04","5,836","12,497.00","26,256","77,041.01","34,005","99,660.87","2,020","1,388.52",1.39
Dhubri,89,142,509.71,4,118.20,"1,942","12,838.67","7,044","10,501.93","53,161","99,356.42","62,293","123,324.93","12,153","3,050.11",2.47
Dibrugarh,188,241,428.74,43,1127.09,"5,771","66,746.55","25,973","59,055.85","103,755","325,726.14","135,783","453,084.37","7,230","5,564.76",1.23
Dima Hasao,32,0,0.00,2,38.09,203,"2,152.50","3,732","12,628.76","8,959","30,828.31","12,896","45,647.66",263,435.76,0.95
Goalpara,71,15,52.60,6,103.77,"1,049","6,001.57","6,030","9,265.22","33,874","84,357.86","40,974","99,781.02","4,278","2,646.33",2.65
Golaghat,124,115,261.73,14,375.06,"3,015","28,034.26","9,531","19,741.87","62,584","189,046.60","75,259","237,459.52","5,692","8,201.17",3.45
Hailakandi,47,406,347.78,0,5.16,694,"4,053.13","3,840","5,865.80","16,364","37,178.38","21,304","47,450.25","2,646","1,414.16",2.98
Hojai,62,7,37.09,3,76.47,838,"7,614.11","7,532","11,017.84","30,413","55,423.09","38,793","74,168.60","4,569","3,494.26",4.71
Jorhat,141,90,1439.48,45,1238.13,"7,848","72,996.32","17,630","35,526.13","85,962","205,083.36","111,575","316,283.42","5,883","4,725.61",1.49
Kamrup Metro,176,104,101.59,15,347.43,"4,787","50,452.07","15,907","28,294.91","89,246","191,225.71","110,059","270,421.71","14,273","6,355.82",2.35
Karbi Anglong,65,35,89.22,2,55.35,715,"4,125.09","7,449","24,388.46","25,383","76,463.35","33,584","105,121.47",989,"1,426.05",1.36
Karimganj,95,5,4.72,9,183.26,697,"7,599.63","7,189","12,609.72","38,200","74,545.21","46,100","94,942.54","6,057","2,694.09",2.84
Kokrajhar,58,746,2833.54,8,254.76,"1,452","16,823.75","6,238","12,209.73","35,598","98,808.33","44,042","130,930.11","1,794","1,518.79",1.16
Lakhimpur,91,29,83.05,9,253.59,"2,897","27,175.94","10,481","24,568.77","53,135","131,463.77","66,551","183,545.12","7,549","3,102.62",1.69
Majuli,17,1,19.45,1,26.53,201,"1,762.15","2,052","6,002.31","4,436","12,848.87","6,691","20,659.31",236,228.92,1.11
Morigaon,69,127,274.22,4,94.61,909,"7,391.04","5,828","16,130.57","24,945","44,797.72","31,813","68,688.16","4,438","1,760.41",2.56
Nagaon,153,175,436.34,26,516.36,"4,322","40,233.71","13,050","29,904.98","96,221","222,701.49","113,794","293,792.88","14,774","6,423.35",2.19
Nalbari,88,39,84.74,5,185.51,"3,022","25,627.24","8,299","21,838.72","43,965","98,454.32","55,330","146,190.53","7,269","3,264.79",2.23
Sivasagar,102,176,963.48,18,411.34,"3,218","28,341.03","12,816","26,450.09","63,591","132,436.77","79,819","188,602.71","4,485","3,972.17",2.11
Sonitpur,132,108,232.58,32,914.48,"4,979","55,200.91","15,520","29,316.80","72,831","192,200.55","93,470","277,865.32","7,908","4,429.68",1.59
South Salmara,14,0,0.00,0,0.00,270,418.09,"1,556","1,330.19","3,769","9,999.31","5,595","11,747.59",316,320.10,2.72
Tamulpur,22,0,0.00,0,0.00,280,"1,207.12","1,260","1,706.20","6,466","16,972.41","8,006","19,885.73",973,451.07,2.27
Tinsukia,153,78,821.98,22,452.22,"3,263","38,418.63","15,426","30,713.51","66,247","180,337.00","85,036","250,743.34","5,638","4,553.33",1.82
Udalguri,55,18,33.83,7,178.18,"2,000","5,961.41","3,947","4,937.55","20,133","62,817.66","26,105","73,928.63","1,676","1,317.53",1.78
West Karbi Anglong,22,1,1.50,0,0.00,80,123.92,"1,187","4,217.15","3,993","12,775.61","5,261","17,118.18",119,188.34,1.10
