District,Total Branch,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt,MUDRA NPA Pct
Bajali,34,4552,945.90,1640,425.60,7182,6399.06,527,479.52,475,2671.42,21,89.13,12209,10016.38,2188,994.25,9.93
Baksa,34,1893,428.76,525,149.44,4505,5005.74,666,871.96,307,1780.71,21,95.49,6705,7215.21,1212,1116.89,15.48
Barpeta,90,23482,4816.78,5556,898.74,22524,22509.89,1998,2606.40,1980,10667.57,119,565.64,47986,37994.24,7673,4070.78,10.71
Biswanath,62,8562,1815.25,2443,400.14,10893,8703.27,844,804.55,557,3463.15,41,212.78,20012,13981.67,3328,1417.47,10.14
Bongaigaon,66,16944,3187.63,3889,384.01,10796,9773.28,628,653.47,1192,5766.91,63,321.27,28932,18727.82,4580,1358.75,7.26
Cachar,168,53512,11083.44,10255,1667.67,53627,42898.40,3547,3495.66,2895,13751.47,222,1206.49,110034,67733.31,14024,6369.82,9.40
Charaideo,36,7213,1379.17,1378,249.75,5863,5860.81,389,508.77,517,2693.69,28,130.08,13593,9933.67,1795,888.60,8.95
Chirang,39,7603,1576.09,1384,231.87,7590,7068.26,912,1001.52,308,1900.36,27,133.78,15501,10544.71,2323,1367.17,12.97
Darrang,70,19509,3714.79,6340,909.51,15403,14892.57,1418,1810.80,1423,8152.08,201,1063.04,36335,26759.44,7959,3783.35,14.14
Dhemaji,47,9442,2141.09,2228,422.71,8073,8936.73,1166,1368.70,980,5238.76,81,347.45,18495,16316.58,3475,2138.86,13.11
Dhubri,89,21636,4183.69,7201,1188.45,19885,18295.79,2283,1747.11,1072,6094.00,108,388.77,42593,28573.48,9592,3324.33,11.63
Dibrugarh,188,29893,5907.89,7589,1060.93,31400,29670.01,2568,3315.12,2862,16147.55,352,1820.50,64155,51725.45,10509,6196.55,11.98
Dima Hasao,32,1354,265.62,331,60.24,1594,2298.63,130,184.03,231,1369.24,12,63.86,3179,3933.49,473,308.13,7.83
Goalpara,71,16126,3402.77,3666,693.81,13740,13283.39,1090,1021.53,1039,5655.90,56,284.32,30905,22342.06,4812,1999.66,8.95
Golaghat,124,21210,4161.85,4534,713.41,27100,21601.40,1813,1693.05,1690,7671.90,109,519.75,50000,33435.15,6456,2926.21,8.75
Hailakandi,47,7444,1500.17,1329,241.78,10754,9500.49,1204,1125.48,650,3445.11,67,298.85,18848,14445.77,2600,1666.11,11.53
Hojai,62,10671,2175.84,2675,454.45,13286,12558.06,1469,1570.37,1744,9092.61,226,1053.93,25701,23826.51,4370,3078.75,12.92
Jorhat,141,22408,3711.10,6908,670.06,24994,21413.47,1607,1746.57,1716,8946.06,170,824.48,49118,34070.63,8685,3241.11,9.51
Kamrup Metro,176,42856,9175.31,12480,1596.33,42889,35415.15,2916,2799.04,2258,12211.07,226,1033.96,88003,56801.53,15622,5429.33,9.56
Karbi Anglong,65,5003,1486.41,715,120.45,5901,6443.61,358,430.71,498,3022.50,46,256.33,11402,10952.52,1119,807.49,7.37
Karimganj,95,21310,4325.33,4254,886.59,22701,17441.82,1889,1862.95,1391,7185.43,138,876.16,45402,28952.58,6281,3625.70,12.52
Kokrajhar,58,15810,3539.69,1384,233.40,11809,10449.43,1063,1204.66,702,3939.14,37,182.11,28321,17928.26,2484,1620.17,9.04
Lakhimpur,91,16455,3445.81,5775,1199.55,19775,18202.24,2698,2719.24,1785,8761.67,220,1022.13,38015,30409.72,8693,4940.92,16.25
Majuli,17,3020,615.95,455,67.13,965,1363.16,126,145.86,330,1383.67,36,104.82,4315,3362.78,617,317.81,9.45
Morigaon,69,8676,1931.70,2123,484.06,14955,14624.84,2391,2929.79,1698,7653.73,279,1450.14,25329,24210.27,4793,4863.99,20.09
Nagaon,153,32475,6573.08,9528,1507.89,39981,34093.67,3811,4178.16,2960,15458.08,447,2274.15,75416,56124.83,13786,7960.20,14.18
Nalbari,88,18846,3679.15,6251,893.76,16183,14771.87,1836,1816.33,1012,5927.33,85,412.50,36041,24378.35,8172,3122.59,12.81
Sivasagar,102,15111,2906.71,2792,397.09,21183,19112.82,1570,1731.77,1958,8892.79,121,536.04,38252,30912.32,4483,2664.90,8.62
Sonitpur,132,24008,4933.87,6558,914.44,30267,25388.27,2302,2470.85,2206,12171.92,233,1215.99,56481,42494.06,9093,4601.28,10.83
South Salmara,14,346,107.26,132,38.29,1097,1615.64,348,308.69,158,911.89,15,64.98,1601,2634.79,495,411.96,15.64
Tamulpur,22,1806,378.09,560,108.68,4048,3592.90,264,394.44,108,557.36,3,18.32,5962,4528.35,827,521.44,11.52
Tinsukia,153,22196,4229.28,4977,622.77,22783,24303.74,2325,2822.79,3070,17911.34,335,1965.98,48049,46444.36,7637,5411.54,11.65
Udalguri,55,8232,2137.98,1134,299.40,7213,7465.94,1600,2052.60,451,2478.88,37,165.09,15896,12082.80,2771,2517.09,20.83
West Karbi Anglong,22,949,222.01,187,21.27,381,540.84,25,35.21,79,454.52,3,12.84,1409,1217.37,215,69.32,5.69
