District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Ops Total O/S No.,Ops Total O/S Amt
Bajali,34,0,0,111,297.52,1413,8557.23,0,0,16,4.76,3497,10133.05,5037,18992.56
Baksa,34,0,0,70,201.96,572,5859.14,0,0,32,8.48,1125,2467.94,1799,8537.52
Barpeta,90,0,0,423,1247.57,2446,22696.09,0,0,309,156.18,16440,5596.71,19618,29696.55
Biswanath,62,0,0,218,653.98,1434,10946.01,0,0,0,0,8943,7094.47,10595,18694.46
Bongaigaon,66,0,0,178,721.97,1883,16348.73,2,118.26,66,34.02,12697,4905.66,14826,22128.64
Cachar,168,0,0,1327,3450.08,3700,30385.12,4,7.93,13,3.84,55872,21242.30,60916,55089.27
Charaideo,36,0,0,86,221.51,397,3167.15,0,0,30,13.10,4718,3961.59,5231,7363.35
Chirang,39,0,0,72,232.75,602,5558.69,0,0,88,19.64,6332,2361.03,7094,8172.11
Darrang,70,0,0,397,1279.96,1535,13848.71,0,0,26,13.16,9765,4680.84,11723,19822.67
Dhemaji,47,0,0,197,583.27,1617,13917.09,0,0,12,2.34,6857,3224.23,8683,17726.93
Dhubri,89,0,0,210,712.25,1904,16359.26,1,0.32,172,104.62,18709,7532.82,20996,24709.27
Dibrugarh,188,0,0,939,2994.56,4597,41158.62,1,2.95,8,2.77,20354,8630.51,25899,52789.41
Dima Hasao,32,0,0,43,117.02,374,3401.91,0,0,0,0,61,742.90,478,4261.83
Goalpara,71,0,0,172,614.80,1194,10712.30,8,0.68,331,219.48,14385,7156.61,16090,18703.87
Golaghat,124,0,0,435,1663.26,2343,18733.33,0,0,1,2.00,19517,9067.06,22296,29465.65
Hailakandi,47,0,0,103,252.43,891,6271.38,0,0,15,8.12,8625,3350.23,9634,9882.16
Hojai,62,0,0,167,613.29,941,7294.31,0,-,1,1.26,8310,6010.10,9419,13918.96
Jorhat,141,0,0,938,3276.35,4605,41647.04,1,40.8,2,3.30,18319,7425.68,23865,52393.17
Kamrup Metro,176,0,0,1572,5454.42,6666,38102.11,0,-,10,4.85,35954,16542.82,44202,60104.20
Karbi Anglong,65,0,0,110,279.87,2013,20001.32,0,0,0,-,3651,1713.75,5774,21994.94
Karimganj,95,0,0,140,410.66,1239,6984.91,0,0,6,3.34,23163,15118.95,24548,22517.86
Kokrajhar,58,0,0,154,430.79,1086,10639.13,0,0,9,5.93,13441,4389.92,14690,15465.77
Lakhimpur,91,0,0,419,1300.47,3358,28420.74,2,0.74,52,22,10312,12758.67,14143,42502.62
Majuli,17,0,0,35,66.83,318,2444.29,0,0,0,0,801,475.80,1154,2986.92
Morigaon,69,0,0,177,546.07,1778,15171.15,0,0,20,7.76,7394,4408.05,9369,20133.03
Nagaon,153,0,0,395,1308.36,3833,32924.85,4,135.02,4,-,25964,47517.00,30200,81885.23
Nalbari,88,0,0,428,1352.53,2501,23708.57,2,12.00,4,0.77,13803,4665.43,16738,29739.30
Sivasagar,102,0,0,388,1173.80,2730,21747.60,1,2.18,3,2.12,13013,11608.30,16135,34534.00
Sonitpur,132,0,0,615,2220.65,3875,33902.25,0,-,1,2.35,21445,16393.18,25936,52518.43
South Salmara,14,0,0,22,65.41,277,2587.97,0,0,6,4.34,389,633.60,694,3291.32
Tamulpur,22,0,0,80,205.94,377,3579.38,0,0,9,1.75,1615,736.52,2081,4523.59
Tinsukia,153,0,0,674,2460.56,2829,23258.71,1,-,12,6.60,17755,13827.48,21271,39553.35
Udalguri,55,0,0,362,1062.48,1768,16651.77,0,0,0,-,7516,3482.87,9646,21197.12
West Karbi Anglong,22,0,0,14,65.46,542,5439.74,0,0,5,0.39,4,3.12,565,5508.71
