District,Total Branch,Crop No.,Crop Amt,Term Loan No.,Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt
Bajali,34,3066,1889.81,5426,1265.17,5,5.47,485,161.56,8982,3322.01
Baksa,34,4047,2294.82,1446,882.06,0,0,294,46.46,5787,3223.34
Barpeta,90,19221,11673.83,4233,2302.83,2,1.39,629,213.88,24085,14191.93
Biswanath,62,9932,6002.13,2902,969.63,1,0.17,766,152.25,13601,7124.18
Bongaigaon,66,3914,1624.27,1519,1020.41,0,0,214,57.74,5647,2702.42
Cachar,168,24767,12697.57,4245,2146.90,3,49.39,674,763.73,29689,15657.59
Charaideo,36,1792,1141.12,768,448.72,2,0.93,184,31.96,2746,1622.73
Chirang,39,7825,4470.00,1070,649.33,0,0,61,15.29,8956,5134.62
Darrang,70,12738,7659.57,6293,2754.17,4,5.26,749,302.81,19784,10721.81
Dhemaji,47,10793,7563.78,2013,920.32,2,0.12,770,162.17,13578,8646.39
Dhubri,89,18172,9008.16,5367,1993.14,7,2.34,567,189.42,24113,11193.06
Dibrugarh,188,26681,15758.56,5392,3178.86,38,33.78,1145,682.45,33256,19653.65
Dima Hasao,32,466,108.84,240,130.79,0,0,17,12.85,723,252.48
Goalpara,71,9923,4530.53,2741,1890.41,8,1.81,839,152.72,13511,6575.47
Golaghat,124,24464,11646.98,4457,1635.59,3,1.76,1203,351.05,30127,13635.38
Hailakandi,47,9125,3843.42,1657,901.94,1,0.21,129,86.93,10912,4832.50
Hojai,62,8741,4594.70,1390,794.89,4,216.83,534,246.52,10669,5852.94
Jorhat,141,19586,8505.46,5736,1769.17,5,7.72,666,1065.17,25993,11347.52
Kamrup Metro,176,31962,18003.71,7857,2746.18,6,6.37,2379,578.81,42204,21335.07
Karbi Anglong,65,8297,3762.07,1411,1091.36,0,0,54,108.27,9762,4961.70
Karimganj,95,13525,7021.54,2470,1437.56,1,0.23,249,376.91,16245,8836.24
Kokrajhar,58,10484,5719.27,1440,850.74,2,0,71,39.77,11997,6609.78
Lakhimpur,91,25724,15294.89,7523,2415.09,68,13.65,1786,403.77,35101,18127.40
Majuli,17,1693,792.81,905,733.88,0,0,47,10.09,2645,1536.78
Morigaon,69,15316,7922.98,5478,2874.16,7,4.21,1071,292.32,21872,11093.67
Nagaon,153,38942,18407.51,15975,4121.37,29,64.83,1795,1097.70,56741,23691.41
Nalbari,88,13585,6341.57,7788,2361.39,7,6.94,626,281.05,22006,8990.95
Sivasagar,102,8700,3847.66,3764,1688.59,2,15.18,1061,794.02,13527,6345.45
Sonitpur,132,10992,6733.95,8722,2988.10,14,25.32,1384,480.89,21112,10228.26
South Salmara,14,1501,458.08,236,253.78,0,0,0,0,1737,711.86
Tamulpur,22,2976,1557.48,846,449.96,0,0,258,32.35,4080,2039.79
Tinsukia,153,16203,10580.59,2772,1947.64,5,3.86,789,888.76,19769,13420.85
Udalguri,55,18759,11889.03,7936,3638.00,0,0,344,87.33,27039,15614.36
West Karbi Anglong,22,2832,1094.56,708,344.77,1,0,0,0,3541,1439.33
