District,Total Branch,CY Sanction A/C No.,CY Sanction Amt,CY Disbursed A/C No.,CY Disbursed Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Pct
Bajali,34,27,209.27,27,199.67,255,729.07,89,147.25,20.20
Baksa,34,22,65.95,32,63.80,679,1120.24,437,607.16,54.20
Barpeta,90,85,665.79,115,599.19,1387,3292.52,580,936.68,28.45
Biswanath,62,16,161.77,39,73.97,305,827.77,112,164.65,19.89
Bongaigaon,66,55,529.55,78,444.19,575,1402.69,252,360.51,25.70
Cachar,168,55,313.44,83,309.03,1066,2990.19,421,631.93,21.13
Charaideo,36,8,38.36,6,22.24,166,389.30,95,186.00,47.78
Chirang,39,37,154.29,23,80.85,1167,1478.44,913,926.42,62.66
Darrang,70,31,101.17,48,105.73,549,1077.30,288,404.81,37.58
Dhemaji,47,76,332.59,109,196.28,938,2488.34,360,604.00,24.27
Dhubri,89,104,454.95,70,180.31,1432,2280.02,695,746.13,32.72
Dibrugarh,188,83,522.36,138,401.97,1288,3780.61,552,945.54,25.01
Dima Hasao,32,4,11.40,10,31.98,250,563.32,74,107.61,19.10
Goalpara,71,28,143.81,25,44.03,680,975.82,433,515.62,52.84
Golaghat,124,25,130.24,68,156.07,659,1576.96,335,622.89,39.50
Hailakandi,47,44,289.71,47,255.11,652,1805.03,249,454.45,25.18
Hojai,62,24,154.18,36,130.38,353,910.67,94,172.55,18.95
Jorhat,141,37,160.68,38,132.61,505,1225.42,219,307.18,25.07
Kamrup Metro,176,100,552.75,110,340.09,1366,2882.60,574,735.09,25.50
Karbi Anglong,65,30,96.23,43,86.65,430,617.60,219,174.43,28.24
Karimganj,95,38,122.05,41,132.78,570,1481.58,249,448.93,30.30
Kokrajhar,58,70,269.67,67,155.73,1640,2179.49,1210,1334.20,61.22
Lakhimpur,91,50,290.99,79,184.62,1080,2952.12,532,950.98,32.21
Majuli,17,9,24.08,8,11.15,170,325.28,43,64.59,19.86
Morigaon,69,25,174.27,36,129.12,730,1345.22,464,666.20,49.52
Nagaon,153,104,891.03,126,629.41,1201,3705.78,594,941.68,25.41
Nalbari,88,37,216.90,76,220.47,863,2050.56,420,671.86,32.76
Sivasagar,102,73,417.38,95,261.51,742,2487.59,241,432.37,17.38
Sonitpur,132,102,543.38,130,471.85,1090,2646.85,409,583.48,22.04
South Salmara,14,3,15.20,-,-,362,428.16,292,294.88,68.87
Tamulpur,22,6,25.98,4,3.17,200,353.69,121,158.28,44.75
Tinsukia,153,84,430.48,91,258.80,1279,3709.62,508,955.87,25.77
Udalguri,55,6,84.41,6,11.64,1352,2219.63,1233,1930.39,86.97
West Karbi Anglong,22,1,6.65,-,0,17,57.64,3,1.82,3.16
