district,Total Branch,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bajali,34,"1,038",334.72,"1,357","1,876.75",98,729.30,"2,493","2,940.77"
Baksa,34,587,184.88,811,"1,156.63",86,499.66,"1,484","1,841.17"
Barpeta,90,"7,980","2,668.54","5,213","6,333.45",404,"2,838.52","13,597","11,840.51"
Biswanath,62,"3,171","1,031.02","2,700","2,859.83",132,"1,028.84","6,003","4,919.69"
Bongaigaon,66,"4,565","1,578.54","2,853","3,454.45",224,"1,512.51","7,642","6,545.50"
Cachar,168,"19,337","6,199.09","14,809","15,826.92",529,"3,703.67","34,675","25,729.68"
Charaideo,36,"1,934",570.11,"1,295","1,682.31",116,790.05,"3,345","3,042.47"
Chirang,39,"2,646",892.12,"1,847","2,367.20",89,585.10,"4,582","3,844.42"
Darrang,70,"5,232","1,807.30","3,766","4,886.00",328,"2,448.53","9,326","9,141.83"
Dhemaji,47,"2,997","1,041.24","1,764","2,407.50",190,"1,343.97","4,951","4,792.71"
Dhubri,89,"7,067","2,486.15","5,115","6,567.23",304,"2,222.98","12,486","11,276.36"
Dibrugarh,188,"9,640","2,735.85","7,164","8,600.07",637,"4,778.95","17,441","16,114.87"
Dima Hasao,32,346,97.52,202,436.59,56,369.81,604,903.92
Goalpara,71,"4,594","1,593.91","3,236","3,818.18",261,"1,803.52","8,091","7,215.61"
Golaghat,124,"7,112","2,141.00","6,744","7,016.34",337,"2,282.52","14,193","11,439.86"
Hailakandi,47,"2,881",961.34,"2,616","2,976.91",136,907.09,"5,633","4,845.34"
Hojai,62,"3,773","1,246.13","3,149","4,206.24",298,"2,267.76","7,220","7,720.13"
Jorhat,141,"6,865","2,026.23","6,481","7,161.97",352,"2,454.40","13,698","11,642.60"
Kamrup Metro,176,"11,982","4,109.39","11,073","12,866.12",498,"3,414.11","23,553","20,389.62"
Karbi Anglong,65,"2,078",769.89,"1,115","1,527.78",170,"1,231.14","3,363","3,528.81"
Karimganj,95,"7,160","2,354.07","6,420","6,767.94",294,"2,036.39","13,874","11,158.40"
Kokrajhar,58,"5,601","2,064.42","3,472","3,759.00",188,"1,374.92","9,261","7,198.34"
Lakhimpur,91,"4,433","1,524.40","4,239","5,106.30",376,"2,553.23","9,048","9,183.93"
Majuli,17,604,197.24,120,252.28,41,270.93,765,720.45
Morigaon,69,"3,418","1,227.18","3,575","4,544.53",241,"1,772.73","7,234","7,544.44"
Nagaon,153,"10,564","3,649.25","9,871","11,577.65",605,"4,277.55","21,040","19,504.45"
Nalbari,88,"4,834","1,655.36","3,643","4,270.42",251,"1,743.87","8,728","7,669.65"
Sivasagar,102,"5,135","1,564.72","4,990","5,940.52",401,"2,584.94","10,526","10,090.18"
Sonitpur,132,"7,368","2,519.85","7,389","8,370.13",507,"3,516.08","15,264","14,406.06"
South Salmara,14,26,9.30,176,398.04,28,225.70,230,633.04
Tamulpur,22,595,190.05,902,"1,011.26",26,172.85,"1,523","1,374.16"
Tinsukia,153,"6,209","1,891.82","5,122","7,462.17",663,"4,745.27","11,994","14,099.26"
Udalguri,55,"2,266",805.74,"1,552","2,038.62",116,856.59,"3,934","3,700.95"
West Karbi Anglong,22,138,41.85,45,129.74,29,245.94,212,417.53
