District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt
Bajali,34,5,4.34,0,0.00,4,1.85,117,109.94,"1,924",617.48,"2,050",733.61
Baksa,34,4,14.53,0,0.00,9,36.38,203,181.33,759,869.43,975,"1,101.67"
Barpeta,90,11,23.03,0,0.00,25,102.37,538,436.07,"9,173","3,371.71","9,747","3,933.18"
Biswanath,62,3,1.37,0,0.00,5,1.17,204,123.00,"3,780",919.50,"3,992","1,045.04"
Bongaigaon,66,6,5.97,0,0.00,22,256.65,315,410.62,"4,098","2,265.53","4,441","2,938.77"
Cachar,168,10,38.42,0,0.00,30,527.33,478,672.90,"14,804","5,628.05","15,322","6,866.70"
Charaideo,36,0,0.00,0,0.00,0,0,64,81.88,899,371.02,963,452.90
Chirang,39,3,9.60,0,0.00,0,0,97,71.67,"1,339",398.58,"1,439",479.85
Darrang,70,3,5.90,0,0.00,8,60.31,423,301.34,"8,397","2,307.72","8,831","2,675.27"
Dhemaji,47,1,0.59,0,0.00,8,65.06,202,281.44,"1,809","1,041.43","2,020","1,388.52"
Dhubri,89,2,4.08,0,0.00,6,32,428,390.91,"11,717","2,623.12","12,153","3,050.11"
Dibrugarh,188,3,2.82,2,34.76,26,434.63,830,828.44,"6,369","4,264.11","7,230","5,564.76"
Dima Hasao,32,0,0.00,0,0.00,0,0,45,77.61,218,358.15,263,435.76
Goalpara,71,4,11.05,1,22.93,5,38.21,253,259.25,"4,015","2,314.89","4,278","2,646.33"
Golaghat,124,11,31.97,0,0.00,15,162.24,330,259.78,"5,336","7,747.18","5,692","8,201.17"
Hailakandi,47,318,131.06,0,0.00,9,102.35,242,262.43,"2,077",918.32,"2,646","1,414.16"
Hojai,62,3,25.96,0,0.00,4,41.01,254,224.32,"4,308","3,202.97","4,569","3,494.26"
Jorhat,141,4,4.58,1,36.11,38,681.04,653,514.07,"5,187","3,489.81","5,883","4,725.61"
Kamrup Metro,176,0,0.00,1,3.55,25,460.8,692,950.51,"13,555","4,940.96","14,273","6,355.82"
Karbi Anglong,65,3,4.79,0,0.00,3,0.56,193,304.30,790,"1,116.40",989,"1,426.05"
Karimganj,95,0,0.00,2,21.56,15,246.88,267,314.64,"5,773","2,111.01","6,057","2,694.09"
Kokrajhar,58,8,20.95,0,0.00,3,59.43,256,249.57,"1,527","1,188.84","1,794","1,518.79"
Lakhimpur,91,1,0.17,0,0.00,9,96.27,397,429.61,"7,142","2,576.57","7,549","3,102.62"
Majuli,17,0,0.00,0,0.00,2,31.34,47,26.70,187,170.88,236,228.92
Morigaon,69,5,12.12,0,0.00,10,72.36,325,412.96,"4,098","1,262.97","4,438","1,760.41"
Nagaon,153,15,50.51,1,1.66,30,391.31,615,"1,362.28","14,113","4,617.59","14,774","6,423.35"
Nalbari,88,2,15.17,0,0.00,26,221.48,465,523.89,"6,776","2,504.25","7,269","3,264.79"
Sivasagar,102,8,16.47,0,0.00,21,211.44,416,"1,100.31","4,040","2,643.95","4,485","3,972.17"
Sonitpur,132,3,47.56,0,0.00,24,364.31,565,558.45,"7,316","3,459.36","7,908","4,429.68"
South Salmara,14,0,0.00,0,0.00,0,0,105,109.89,211,210.21,316,320.10
Tamulpur,22,0,0.00,0,0.00,0,0,81,117.21,892,333.86,973,451.07
Tinsukia,153,3,18.51,1,4.80,20,340.54,524,528.17,"5,090","3,661.31","5,638","4,553.33"
Udalguri,55,0,0.00,0,0.00,10,85.46,205,213.70,"1,461","1,018.37","1,676","1,317.53"
West Karbi Anglong,22,0,0.00,0,0.00,0,0,27,52.21,92,136.13,119,188.34
