district,Total Branch,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Bajali,34,"20,873","189,255","15,785","98,882","290,230","80,632","15,742","135,497"
Baksa,34,"44,918","229,204","32,716","146,020","366,701","117,969","22,680","213,618"
Barpeta,91,"114,576","972,580","90,793","504,892","1,547,791","429,565","74,903","694,371"
Biswanath,62,"62,984","323,763","42,688","227,974","513,745","169,880","45,075","336,033"
Bongaigaon,66,"59,841","428,886","47,603","234,077","625,503","209,423","30,204","324,122"
Cachar,171,"124,843","1,040,870","93,245","392,099","1,542,794","330,905","63,359","580,301"
Charaideo,36,"29,164","232,597","24,954","121,327","335,697","104,990","24,777","175,268"
Chirang,39,"46,982","296,498","39,547","179,733","464,611","159,636","20,406","247,121"
Darrang,70,"80,856","634,481","60,908","305,230","953,345","247,474","46,006","432,092"
Dhemaji,48,"74,215","392,739","53,390","246,044","643,868","201,814","57,171","377,430"
Dhubri,90,"111,690","1,003,686","79,797","477,186","1,532,813","382,799","71,512","660,388"
Dibrugarh,190,"125,033","848,865","83,370","409,802","1,256,097","321,256","77,501","612,336"
Dima Hasao,33,"20,181","96,549","14,165","47,200","139,276","38,293","8,963","76,344"
Goalpara,71,"73,796","593,843","54,070","319,136","944,001","264,937","49,489","442,421"
Golaghat,125,"92,428","604,879","65,703","315,870","894,076","243,824","61,229","469,527"
Hailakandi,47,"39,915","400,088","28,812","147,148","607,266","123,368","28,126","215,189"
Hojai,63,"84,174","619,381","66,866","266,329","897,670","214,375","35,649","386,152"
Jorhat,142,"81,145","657,967","57,900","286,609","942,007","239,653","49,517","417,271"
Kamrup,178,"136,515","1,007,857","99,641","468,942","1,481,046","371,880","69,690","675,147"
Kamrup Metro,462,"150,840","1,603,448","101,674","417,388","2,611,693","296,999","93,725","661,953"
Karbi Anglong,66,"56,468","198,893","44,423","157,171","311,744","136,283","45,996","259,635"
Karimganj,96,"58,591","704,741","46,089","203,812","1,031,827","174,053","40,507","302,910"
Kokrajhar,59,"74,954","465,741","58,190","302,366","823,350","253,535","30,151","407,471"
Lakhimpur,92,"97,141","540,958","73,809","342,513","840,090","295,285","59,455","499,109"
Majuli,17,"8,956","141,184","6,722","39,140","188,656","30,639","11,132","59,228"
Morigaon,69,"54,273","753,497","38,285","198,614","1,013,542","161,826","38,305","291,192"
Nagaon,155,"157,509","1,171,172","125,979","628,406","1,909,202","537,917","97,487","883,402"
Nalbari,89,"67,873","478,166","47,393","245,537","724,052","194,048","30,106","343,516"
Sivasagar,103,"79,168","439,498","58,267","234,982","651,035","190,174","36,947","351,097"
Sonitpur,133,"104,063","778,600","72,703","356,945","1,129,618","266,522","64,378","525,386"
South Salmara,15,"8,789","143,641","6,516","56,502","245,697","45,267","8,046","73,337"
Tamulpur,22,"29,281","190,938","24,201","98,708","306,412","88,060","14,213","142,202"
Tinsukia,154,"112,786","962,221","80,709","339,805","1,336,928","280,895","61,653","514,244"
Udalguri,55,"86,311","550,853","68,681","300,659","906,410","253,186","35,026","421,996"
West Karbi Anglong,22,"17,488","74,078","15,463","56,205","121,643","52,912","18,089","91,782"
