District,Total Branch,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt
Bajali,34,20226,16557.32,1779,1365.77,739,984.31,16,0.77,2551,5932.56,8000,2837.46,4800,4744.43,527,0.32,954,639.25,39592,33062.19
Baksa,34,14110,11536.07,716,1244.04,4253,7062.83,9,0.41,4462,11437.36,4214,1630.23,2202,3382.59,261,0.22,831,1097.73,31058,37391.48
Barpeta,90,55832,50193.73,4287,3199.13,1229,2401.03,88,11.31,11319,18941.68,27709,10636.17,34103,48830.60,454,2.31,5146,5670.28,140167,139886.24
Biswanath,62,29259,25685.43,3474,3431.25,5316,4256.47,11,0.93,7415,15673.35,14743,6476.70,4100,5982.33,109,0.35,3737,3250.40,68164,64757.21
Bongaigaon,66,27348,28573.77,3248,3618.05,2356,5612.26,18,4.33,4147,9520.67,16764,10963.03,10334,16284.41,925,7.28,2984,4030.33,68124,78614.13
Cachar,168,71939,47945.65,18685,12635.28,2453,3705.18,11,0.80,7063,9647.33,78660,34710.84,33297,47345.94,1778,13.42,2713,3925.32,216599,159929.76
Charaideo,36,14830,12068.65,573,559.28,493,840.48,3,0.14,3474,8454.60,10488,5827.32,1834,2929.79,118,-,871,1174.12,32684,31854.38
Chirang,39,16656,15492.15,1306,1158.57,9456,12146.86,6,0.58,3422,8905.89,8945,3932.21,3418,4058.64,25,0.74,1794,2139.58,45028,47835.22
Darrang,70,51699,39425.98,1322,1157.00,678,1142.95,17,1.75,7201,15854.29,21643,7121.08,20468,30842.59,882,2.74,3598,4140.27,107508,99688.65
Dhemaji,47,32751,30796.11,1912,2150.59,13082,18669.81,2,0.06,5984,14938.04,13807,6792.67,206,554.33,135,0.19,4796,5727.35,72675,79629.15
