District,Total Branch,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Bajali,34,244,482.84,"6,341","2,508.47"
Baksa,34,79,154.60,636,625.29
Barpeta,90,"1,852",735.92,"7,754","2,629.10"
Biswanath,62,492,216.79,"3,380","1,087.89"
Bongaigaon,66,"1,983","1,236.36","13,119","3,894.60"
Cachar,168,"3,987","1,804.29","15,711","5,453.43"
Charaideo,36,835,351.51,"4,931","1,848.77"
Chirang,39,751,391.11,"3,598","1,314.63"
Darrang,70,"2,064","1,043.60","10,020","3,085.75"
Dhemaji,47,"1,402",577.24,"5,650","1,490.10"
Dhubri,89,464,565.44,"2,813","2,080.07"
Dibrugarh,188,"1,041",484.47,"8,138","2,895.44"
Dima Hasao,32,47,97.80,701,659.67
Goalpara,71,"1,741","1,012.55","9,209","3,576.77"
Golaghat,124,848,821.75,"14,050","4,644.95"
Hailakandi,47,76,122.70,986,708.68
Hojai,62,792,522.55,"3,323","1,440.88"
Jorhat,141,223,441.77,"21,510","5,031.82"
Kamrup Metro,176,"4,388","2,771.96","42,826","9,486.70"
Karbi Anglong,65,"1,710","1,672.17","6,744","5,805.47"
Karimganj,95,"1,410",840.58,"6,096","3,149.75"
Kokrajhar,58,"1,765","1,042.68","8,104","3,406.65"
Lakhimpur,91,"1,142",552.10,"8,373","2,630.79"
Majuli,17,573,193.02,"2,657",539.50
Morigaon,69,60,83.03,"1,960",812.76
Nagaon,153,"1,674",923.76,"21,251","5,124.38"
Nalbari,88,"1,753",849.47,"15,277","3,808.90"
Sivasagar,102,514,470.40,"4,559","1,871.74"
Sonitpur,132,"2,336","1,133.09","16,229","4,153.53"
South Salmara,14,0,0,80,75.65
Tamulpur,22,32,57.82,"1,031",591.43
Tinsukia,153,"1,512",647.16,"9,501","2,946.20"
Udalguri,55,"1,214",581.89,"6,709","2,386.01"
West Karbi Anglong,22,74,155.80,"1,284","1,162.17"
