district,Total Branch,Inactive CSPs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Bajali,34,8,"27,425","15,581","114,590","8,296"
Baksa,34,11,"62,169","36,606","146,632","6,172"
Barpeta,90,30,"247,582","129,138","721,417","24,685"
Biswanath,62,9,"88,600","76,039","166,066","9,317"
Bongaigaon,66,17,"86,639","46,890","193,249","9,350"
Cachar,168,159,"216,282","85,769","423,249","14,727"
Charaideo,36,4,"55,738","11,219","65,402","4,735"
Chirang,39,5,"99,512","55,532","225,648","7,673"
Darrang,70,38,"131,600","51,560","345,210","21,802"
Dhemaji,47,16,"111,905","92,934","181,563","10,497"
Dhubri,89,40,"207,195","107,758","512,336","9,841"
Dibrugarh,188,85,"187,985","128,129","410,701","29,004"
Dima Hasao,32,3,"26,166","4,764","30,389",374
Goalpara,71,23,"146,892","55,075","444,520","12,760"
Golaghat,124,36,"137,096","90,434","241,300","24,579"
Hailakandi,47,14,"97,500","38,831","254,333","7,737"
Hojai,62,22,"144,170","59,266","271,590","6,846"
Jorhat,141,96,"93,372","58,165","276,921","20,580"
Kamrup,176,30,"293,494","116,648","572,042","37,366"
Kamrup Metro,461,"2,035","157,054","110,226","797,827","12,082"
Karbi Anglong,65,9,"44,896","20,874","96,996","5,613"
Karimganj,95,15,"142,549","60,915","257,322","4,517"
Kokrajhar,58,20,"97,155","63,783","351,260","10,121"
Lakhimpur,91,11,"135,803","106,622","228,142","19,093"
Majuli,17,2,"22,352","6,756","46,265","1,933"
Morigaon,69,41,"194,597","30,804","253,732","14,725"
Nagaon,153,368,"227,146","113,960","708,761","33,549"
Nalbari,88,9,"91,539","41,892","313,402","20,114"
Sivasagar,102,78,"95,326","49,968","191,482","10,786"
Sonitpur,132,172,"133,223","70,145","475,913","17,735"
South Salmara,14,8,"13,462","12,341","114,964",375
Tamulpur,22,13,"63,963","29,678","123,377","2,298"
Tinsukia,153,123,"147,229","73,493","464,168","20,739"
Udalguri,55,21,"129,762","72,339","356,518","13,593"
West Karbi Anglong,22,4,"14,668","8,167","47,959",608
