District,Total Branch,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Amt. %
Bajali,34,796,"3,093.24","4,458","7,635.17",6,2.69,23,17.25,0.23
Baksa,34,950,"3,665.64","5,847","12,587.06",23,38.13,228,381.87,3.03
Barpeta,90,"3,282","11,362.52","12,853","23,755.93",150,214.25,408,270.29,1.14
Biswanath,62,"2,505","7,316.40","10,055","21,895.28",173,405.36,138,159.04,0.73
Bongaigaon,66,"1,684","5,844.74","6,511","13,728.43",221,266.35,57,34.13,0.25
Cachar,168,"2,607","8,165.22","9,804","18,793.21",157,341.19,120,79.35,0.42
Charaideo,36,846,"3,139.55","4,440","10,191.12",46,57.58,62,28.41,0.28
Chirang,39,"1,243","2,510.64","4,455","11,342.03",153,327.28,128,55.89,0.49
Darrang,70,"2,394","8,028.57","8,353","18,493.15",104,186.87,138,123.68,0.67
Dhemaji,47,"2,669","8,656.45","9,202","21,582.02",253,529.01,120,46.24,0.21
Dhubri,89,"3,511","8,043.04","9,549","16,963.70",461,686.44,419,165.58,0.98
Dibrugarh,188,"3,386","11,464.21","11,173","26,869.42",249,617.34,214,79.04,0.29
Dima Hasao,32,252,599.92,"1,255","2,794.15",17,17.59,17,9.32,0.33
Goalpara,71,"1,701","6,295.32","8,696","20,103.88",122,274.46,116,56.43,0.28
Golaghat,124,"3,476","12,208.74","13,191","32,755.95",270,573.33,117,69.90,0.21
Hailakandi,47,"1,198","3,114.84","3,863","7,589.54",232,255.91,255,88.30,1.16
Hojai,62,"1,698","5,774.82","6,429","11,774.25",119,186.57,49,29.40,0.25
Jorhat,141,"2,197","7,536.99","9,331","22,966.15",147,262.02,54,36.89,0.16
Kamrup Metro,176,"3,674","13,575.00","18,775","37,471.38",269,655.61,378,282.79,0.75
Karbi Anglong,65,949,"3,195.12","6,947","19,890.51",38,28.33,73,38.75,0.19
Karimganj,95,"1,189","3,532.30","4,777","9,715.52",139,173.66,156,72.47,0.75
Kokrajhar,58,"2,603","6,351.40","6,348","13,355.63",288,329.50,81,34.22,0.26
Lakhimpur,91,"3,406","10,837.38","13,317","25,709.30",277,606.84,149,49.60,0.19
Majuli,17,459,"1,882.55","2,296","4,765.25",40,52.08,38,26.61,0.56
Morigaon,69,"1,786","7,109.05","7,644","14,870.33",94,156.48,342,243.85,1.64
Nagaon,153,"4,970","18,582.24","19,848","42,501.19",435,616.29,288,187.82,0.44
Nalbari,88,"2,109","8,645.35","10,005","22,756.20",131,295.47,167,137.13,0.60
Sivasagar,102,"1,718","5,562.55","7,493","15,089.00",118,186.86,72,22.12,0.15
Sonitpur,132,"3,049","10,885.30","11,572","26,101.37",164,263.68,270,138.88,0.53
South Salmara,14,247,543.50,"1,093","2,124.91",31,51.92,155,39.99,1.88
Tamulpur,22,840,"3,103.50","3,118","8,480.95",35,33.07,29,34.30,0.40
Tinsukia,153,"2,588","9,516.63","10,409","25,038.77",98,184.42,171,89.99,0.36
Udalguri,55,"2,357","7,205.35","9,261","17,783.51",119,147.64,124,151.30,0.85
West Karbi Anglong,22,457,"1,518.17","2,568","6,367.53",33,32.11,53,16.5,0.26
