district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mech No,Farm Mech Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC- Agri Disb No.,Total IC- Agri Disb Amt.
Bajali,34,183,249.55,0,0.00,124,125.96,375,529.60,20,8.88,10,9.38,0,0.00,0,0.00,510,842.79,"1,222","1,766.16"
Baksa,34,42,29.33,0,0.00,29,46.42,18,82.13,12,7.44,13,9.83,0,0.00,0,0.00,197,535.34,311,710.49
Barpeta,90,265,131.48,0,0.00,653,425.65,596,"2,347.92",137,81.17,249,106.98,0,0.00,0,0.00,"1,173","5,153.45","3,073","8,246.65"
Biswanath,62,65,81.67,0,0.00,5,9.38,20,73.90,23,20.61,1,5.55,0,0.00,0,0.00,436,"2,316.79",550,"2,507.90"
Bongaigaon,66,35,42.92,0,0.00,341,230.96,203,824.03,207,462.92,12,18.02,0,0.00,1,4.75,937,"1,578.91","1,736","3,162.51"
Cachar,168,135,88.66,0,0.00,487,511.06,277,948.36,200,389.07,39,60.58,0,0.00,0,0.00,"1,479","3,009.38","2,617","5,007.11"
Charaideo,36,30,14.91,0,0.00,10,21.34,0,0,29,44.03,0,0,0,0.00,0,0.00,57,467.17,126,547.45
Chirang,39,17,14.67,0,0.00,34,14.74,-,-,61,63.60,189,63.36,0,0.00,0,0.00,287,603.76,588,760.13
Darrang,70,129,31.20,0,0.00,322,526.89,510,"1,789.75",29,37.00,77,42.29,0,0.00,0,0.00,"1,061","4,122.26","2,128","6,549.39"
Dhemaji,47,65,61.38,0,0.00,15,20.55,198,793.67,143,151.15,2,1.19,0,0.00,0,0.00,586,"1,656.42","1,009","2,684.36"
Dhubri,89,20,5.69,0,0.00,281,119.07,142,243.12,48,39.58,64,34.54,1,41.34,0,0.00,974,"1,879.72","1,530","2,363.06"
Dibrugarh,188,103,120.78,1,4.04,318,366.12,259,973.81,156,206.73,21,92.28,0,0.00,1,6.00,"1,167","14,981.94","2,026","16,751.70"
Dima Hasao,32,1,0.50,0,0.00,8,11.05,1,5.50,8,3.65,-,-,0,0.00,0,0.00,61,223.03,79,243.73
Goalpara,71,31,14.14,0,0.00,57,23.72,148,415.93,209,202.24,342,132.72,0,0.00,0,0.00,714,"1,673.60","1,501","2,462.35"
Golaghat,124,165,117.97,0,0.00,36,74.16,312,"1,168.24",35,39.25,20,11.00,0,0.00,0,0.00,"1,319","6,059.09","1,887","7,469.71"
Hailakandi,47,99,84.11,0,0.00,171,188.79,1,6.00,60,131.61,9,11.59,0,0.00,0,0.00,650,"1,150.89",990,"1,572.99"
Hojai,62,47,35.03,0,0.00,341,346.21,118,435.35,35,48.38,16,9.63,0,0.00,1,3.00,483,"1,081.29","1,041","1,958.89"
Jorhat,141,50,37.86,0,0.00,397,686.94,155,568.14,49,71.19,28,44.00,0,0.00,0,0.00,"1,125","7,989.87","1,804","9,398.00"
Kamrup Metro,176,359,324.45,0,0.00,747,565.33,200,885.46,300,386.17,112,124.78,0,0.00,0,0.00,"3,903","6,515.48","5,621","8,801.67"
Karbi Anglong,65,28,25.00,0,0.00,68,131.21,88,188.12,22,39.58,12,9.09,0,0.00,0,0.00,92,564.83,310,957.83
Karimganj,95,31,107.51,0,0.00,208,230.93,86,34.94,87,158.68,63,263.49,0,0.00,0,0.00,315,"1,008.83",790,"1,804.38"
Kokrajhar,58,48,29.93,0,0.00,233,159.96,32,137.84,189,164.93,67,96.75,0,0.00,0,0.00,499,"1,110.44","1,068","1,699.85"
Lakhimpur,91,304,573.72,0,0.00,134,211.94,354,"1,509.92",71,90.67,20,8.66,0,0.00,0,0.00,801,"4,263.53","1,684","6,658.44"
Majuli,17,14,2.29,0,0.00,1,1,0,0,3,1.97,2,1.76,0,0.00,0,0.00,12,17.76,32,24.78
Morigaon,69,373,124.98,0,0.00,266,220.07,203,913.57,8,7.07,68,62.41,0,0.00,0,0.00,"1,133","2,698.80","2,051","4,026.90"
Nagaon,153,133,68.86,0,0.00,567,634.74,813,"3,293.96",97,76.99,25,53.30,0,0.00,0,0.00,"1,805","3,500.86","3,440","7,628.71"
Nalbari,88,203,154.51,0,0.00,204,277.94,341,"1,473.82",260,241.62,106,79.01,0,0.00,2,4.41,"1,357","4,284.72","2,473","6,516.03"
Sivasagar,102,109,72.41,0,0.00,255,316.03,177,623.06,386,571.01,7,15.25,1,2.00,1,5.23,745,"6,113.14","1,681","7,718.13"
Sonitpur,132,208,166.95,0,0.00,139,137.61,451,"1,677.81",200,237.44,25,40.78,0,0.00,0,0.00,750,"4,677.10","1,773","6,937.69"
South Salmara,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,2,0.17,2,0.17
Tamulpur,22,4,7.78,0,0.00,7,2.64,0,0,3,2.89,0,0,0,0.00,0,0.00,12,43.28,26,56.59
Tinsukia,153,256,261.50,0,0.00,838,"1,633.19",264,951.40,185,491.59,12,24.75,0,0.00,1,6.76,941,"15,137.07","2,497","18,506.26"
Udalguri,55,44,38.47,0,0.00,17,14.28,2,6.13,56,72.12,22,14.08,0,0.00,0,0.00,98,82.77,239,227.85
West Karbi Anglong,22,4,4.82,0,0.00,6,29.84,0,0,1,0.01,0,0,0,0.00,0,0.00,23,47.24,34,81.91
