District,Total Branch,Farm Credit Crop No.,Farm Credit Crop Amt,Farm Credit Term Loan No.,Farm Credit Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amt
Bajali,34,"8,400","8,634.67","16,618","11,642.36",13,11.08,"1,002",577.14,"26,033","20,865.25"
Baksa,34,"11,571","10,461.96","6,720","9,305.03",3,9.73,"1,037",922.47,"19,331","20,699.19"
Barpeta,90,"38,922","36,588.56","30,484","32,847.59",376,"1,134.52","3,006","7,844.69","72,788","78,415.36"
Biswanath,62,"23,369","20,409.41","13,936","18,091.34",14,570.38,"2,236","8,093.23","39,555","47,164.36"
Bongaigaon,66,"14,882","19,064.83","18,107","19,394.03",10,367.66,"1,756","4,063.80","34,755","42,890.32"
Cachar,168,"49,890","33,235.73","30,046","25,314.51",54,"3,475.00","4,213","9,268.63","84,203","71,293.87"
Charaideo,36,"11,027","7,892.97","7,805","10,493.74",11,65.26,"1,811","3,786.96","20,654","22,238.93"
Chirang,39,"16,182","15,202.82","7,056","7,881.79",5,4.19,941,631.35,"24,184","23,720.15"
Darrang,70,"27,860","26,984.93","30,918","25,995.02",573,516.70,"2,634","5,939.48","61,985","59,436.13"
Dhemaji,47,"24,695","20,954.41","12,855","19,124.13",85,268.07,"2,615","1,990.15","40,250","42,336.76"
Dhubri,89,"29,324","21,378.74","19,229","18,862.02",127,348.94,"1,559","1,829.38","50,239","42,419.08"
Dibrugarh,188,"57,906","48,668.32","30,400","28,857.95",165,"4,342.32","10,450","39,106.44","98,921","120,975.03"
Dima Hasao,32,"1,470",777.81,"1,693","3,050.50",0,2,221,473.48,"3,384","4,303.79"
Goalpara,71,"26,631","24,065.93","11,758","14,950.35",14,26.77,"3,475","3,703.48","41,878","42,746.53"
Golaghat,124,"51,285","35,413.07","31,074","33,471.05",97,831.12,"6,604","18,170.65","89,060","87,885.89"
Hailakandi,47,"16,618","9,533.90","6,918","8,559.59",8,804.94,"1,382","1,127.23","24,926","20,025.66"
Hojai,62,"21,254","16,401.02","9,547","10,649.33",72,468.82,"2,187","3,665.50","33,060","31,184.67"
Jorhat,141,"41,383","25,658.87","27,534","27,164.19",288,"3,900.18","6,105","34,844.42","75,310","91,567.66"
Kamrup Metro,176,"61,077","53,441.87","56,752","41,451.42",20,165.88,"10,142","9,895.97","127,991","104,955.14"
Karbi Anglong,65,"29,527","17,961.30","13,367","24,332.08",-,32.16,"1,085","1,051.33","43,979","43,376.87"
Karimganj,95,"22,288","14,118.98","14,992","13,031.02",17,60.85,"2,090","2,821.41","39,387","30,032.26"
Kokrajhar,58,"24,601","24,591.09","15,324","16,533.45",8,13.45,"1,575","1,425.84","41,508","42,563.83"
Lakhimpur,91,"56,082","42,636.12","28,243","29,222.18",95,149.37,"4,800","5,908.63","89,220","77,916.30"
Majuli,17,"6,679","4,941.45","4,262","3,933.11",3,1.57,147,79.93,"11,091","8,956.06"
Morigaon,69,"38,238","29,863.15","17,690","18,689.50",37,112.68,"3,609","2,707.90","59,574","51,373.23"
Nagaon,153,"69,886","52,730.38","54,362","46,545.16",187,701.15,"7,026","10,011.96","131,461","109,988.65"
Nalbari,88,"26,922","22,457.29","31,936","25,802.80",15,110.51,"2,597","5,025.05","61,470","53,395.65"
Sivasagar,102,"24,523","16,209.97","22,904","20,819.60",99,874.93,"6,139","13,464.96","53,665","51,369.46"
Sonitpur,132,"25,998","26,860.92","36,871","31,235.39",104,447.14,"6,385","11,666.79","69,358","70,210.24"
South Salmara,14,"2,332","1,141.86","1,007","1,960.98",0,0,4,22.35,"3,343","3,125.19"
Tamulpur,22,"5,890","5,763.16","4,302","6,403.95",0,0,"1,097",347.52,"11,289","12,514.63"
Tinsukia,153,"38,426","38,472.88","21,877","26,075.15",109,"1,385.09","4,812","37,058.28","65,224","102,991.40"
Udalguri,55,"30,305","24,308.94","17,504","15,869.88",41,23.51,"1,639","1,005.80","49,489","41,208.13"
West Karbi Anglong,22,"10,225","5,197.82","4,120","7,430.91",1,0,4,20.72,"14,350","12,649.45"
