District,Total Branch,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA AMT,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA AMT
Bajali,34,4458,7635.17,6,2.69,23,17.25,196,513.68,9,5.46,255,729.07,89,147.25,2967,6936.99,73,49.71,10,161.60,2,14.45
Baksa,34,5847,12587.06,23,38.13,228,381.87,65,225.78,14,8.87,679,1120.24,437,607.16,4120,9968.21,258,185.19,6,72.41,3,20.97
Barpeta,90,12853,23755.93,150,214.25,408,270.29,1060,2152.46,212,57.27,1387,3292.52,580,936.68,11154,22826.64,851,540.80,54,770.43,12,161.39
Biswanath,62,10055,21895.28,173,405.36,138,159.04,111,254.48,3,1.95,305,827.77,112,164.65,8422,18446.86,861,339.29,16,166.31,2,7.55
Bongaigaon,66,6511,13728.43,221,266.35,57,34.13,139,255.69,24,14.71,575,1402.69,252,360.51,5348,12738.89,138,81.00,53,450.46,8,44.39
Cachar,168,9804,18793.21,157,341.19,120,79.35,567,879.09,67,30.72,1066,2990.19,421,631.93,8743,15932.78,534,210.06,75,1164.52,6,76.64
Charaideo,36,4440,10191.12,46,57.58,62,28.41,23,26.21,5,3.57,166,389.30,95,186.00,4408,9986.99,94,55.10,13,199.53,3,56.46
Chirang,39,4455,11342.03,153,327.28,128,55.89,66,102.19,5,3,1167,1478.44,913,926.42,3020,7232.70,231,94.44,26,383.19,2,13.59
Darrang,70,8353,18493.15,104,186.87,138,123.68,439,798.46,27,20.39,549,1077.30,288,404.81,8522,17682.84,591,523.14,35,489.99,13,125.78
Dhemaji,47,9202,21582.02,253,529.01,120,46.24,423,509.17,43,58.61,938,2488.34,360,604.00,7910,20024.44,465,185.29,14,241.85,,0.06
Dhubri,89,9549,16963.70,461,686.44,419,165.58,456,447.47,202,123.06,1432,2280.02,695,746.13,8289,13558.48,800,341.43,31,566.39,1,2.86
Dibrugarh,188,11173,26869.42,249,617.34,214,79.04,769,1888.79,86,78.35,1288,3780.61,552,945.54,8810,22466.08,386,177.00,161,2335.44,18,201.37
Dima Hasao,32,1255,2794.15,17,17.59,17,9.32,70,127.16,18,20.17,250,563.32,74,107.61,1410,2988.44,77,35.72,7,53.28,1,7.07
Goalpara,71,8696,20103.88,122,274.46,116,56.43,182,215.91,107,89.41,680,975.82,433,515.62,6960,15589.19,715,335.65,34,269.56,11,56.34
Golaghat,124,13191,32755.95,270,573.33,117,69.90,226,522.78,21,10.37,659,1576.96,335,622.89,10572,28491.41,212,132.33,57,946.59,7,135.52
Hailakandi,47,3863,7589.54,232,255.91,255,88.30,401,653.40,76,48.58,652,1805.03,249,454.45,3553,6146.92,403,167.86,12,136.24,1,11.52
Hojai,62,6429,11774.25,119,186.57,49,29.40,360,584.71,59,32.33,353,910.67,94,172.55,5534,10840.60,193,131.43,65,720.67,24,87.23
Jorhat,141,9331,22966.15,147,262.02,54,36.89,937,2163.93,21,13.83,505,1225.42,219,307.18,7941,20604.98,92,57.22,103,2184.08,9,92.52
Kamrup Metro,176,18775,37471.38,269,655.61,378,282.79,652,1042.66,28,28.44,1366,2882.60,574,735.09,11481,27331.95,972,710.58,106,981.18,7,92.44
Karbi Anglong,65,6947,19890.51,38,28.33,73,38.75,61,116.50,1,,430,617.60,219,174.43,7648,21205.91,216,64.91,43,611.60,7,86.10
Karimganj,95,4777,9715.52,139,173.66,156,72.47,274,429.77,89,45.93,570,1481.58,249,448.93,5076,8778.55,622,222.98,29,528.73,9,93.26
Kokrajhar,58,6348,13355.63,288,329.50,81,34.22,58,84.78,9,8.18,1640,2179.49,1210,1334.20,4432,8745.03,297,90.79,25,497.98,2,13.08
Lakhimpur,91,13317,25709.30,277,606.84,149,49.60,391,512.84,153,66.37,1080,2952.12,532,950.98,11051,23924.50,681,180.06,48,692.69,11,86.95
Majuli,17,2296,4765.25,40,52.08,38,26.61,25,30.08,12,6.45,170,325.28,43,64.59,2181,4468.97,93,47.70,12,111.73,0,0
Morigaon,69,7644,14870.33,94,156.48,342,243.85,648,703.5,367,222.86,730,1345.22,464,666.20,8453,15620.50,1674,805.14,46,564.57,15,109.68
Nagaon,153,19848,42501.19,435,616.29,288,187.82,733,1591.41,33,25.74,1201,3705.78,594,941.68,15900,35715.84,552,398.38,98,1124.88,17,145.05
Nalbari,88,10005,22756.20,131,295.47,167,137.13,257,669.87,16,12.65,863,2050.56,420,671.86,9548,22964.03,593,335.03,48,675.07,7,87.73
Sivasagar,102,7493,15089.00,118,186.86,72,22.12,264,437.89,25,27.88,742,2487.59,241,432.37,6081,13352.84,127,85.04,51,712.18,6,77.96
Sonitpur,132,11572,26101.37,164,263.68,270,138.88,494,1024.71,8,8.45,1090,2646.85,409,583.48,9678,21472.50,1002,395.45,114,1749.52,19,222.29
South Salmara,14,1093,2124.91,31,51.92,155,39.99,4,9.85,,,362,428.16,292,294.88,1014,1912.36,158,43.13,2,64.61,0,0
Tamulpur,22,3118,8480.95,35,33.07,29,34.30,25,72.21,0,0,200,353.69,121,158.28,2381,5903.23,71,44.63,3,100.71,0,0
Tinsukia,153,10409,25038.77,98,184.42,171,89.99,1601,3773.51,72,43.91,1279,3709.62,508,955.87,7933,20250.93,421,204.80,114,1917.56,10,93.53
Udalguri,55,9261,17783.51,119,147.64,124,151.30,133,163.15,4,3.05,1352,2219.63,1233,1930.39,4759,9394.42,477,348.79,15,301.18,4,106.31
West Karbi Anglong,22,2568,6367.53,33,32.11,53,16.5,63,173.95,0,0,17,57.64,3,1.82,2972,6559.53,301,66.60,5,56.41,1,11.44
